Image,Slope Q1,R2 Q1,Slope Q2,R2 Q2,Slope Q3,R2 Q3,Slope Q4,R2 Q4,Slope Whole,R2 Whole
images/filigrees/Corale 11/C11-145r-cropped.jpg,-2.2444097449883835,0.9036758588162549,-2.1680312852216472,0.8981400196615621,-2.2382604045742145,0.8794670396631307,-2.110904574874652,0.8538810094500336,-2.0793439376860254,0.9022525269073067
images/filigrees/Corale 11/C11-109v-Heart I-3-croppedS.jpg,-1.6135825510971284,0.7524687638669463,-1.4240558381082966,0.7510913874682804,-1.3289419558253295,0.6883864255994834,-1.2189520281627937,0.7434645204217769,-1.3810881516422704,0.7426906304582914
images/filigrees/Corale 11/C11-22v-H-2-cropped.jpg,-0.83986975594068,0.95400642506683,-0.8084961692195153,0.9421932317425491,-0.8410246766592924,0.9488960563715647,-0.7792426343024764,0.9442554067496816,-0.8133785550642876,0.9469949066677052
images/filigrees/Corale 11/C11-109v-Heart I-3-croppedE.jpg,-0.7791883251657588,0.9414521831939161,-0.6877628644890559,0.8956231790413755,-0.8167733513909202,0.906518868971618,-0.8512766470724242,0.891495473660439,-0.7663089436608276,0.9259910083123701
images/filigrees/Corale 11/C11-28v-greens-2-cropped.jpg,-1.9836975571094964,0.84847887707936,-1.584087959198286,0.8880694323731434,-1.8101667321566706,0.8529767157875234,-1.4603109963678742,0.8642428549579465,-1.6556231634243161,0.8807714610249966
images/filigrees/Corale 11/C11-30v-31r-flowers C-cropped.jpg,-0.7558741861322082,0.9221280527317955,-0.7356273533905308,0.9295573560593168,-0.75673963567362,0.9244341694598913,-0.7499638560790597,0.9290077280949144,-0.7414160325970546,0.9263684677933608
images/filigrees/Corale 11/C11-89r-croppedE.jpg,-0.9004023782765463,0.8808852168390245,-0.6474438247684614,0.8839455848581393,-0.8544793880448247,0.8928543501761976,-0.636199604178446,0.8336099643546361,-0.7426453985560023,0.895965293160172
images/filigrees/Corale 11/C11-14r-I-cropped.jpg,-1.4195753729571556,0.8488417444289291,-1.7292929466579743,0.785589848649608,-1.2216827898856362,0.862932088825739,-1.424010436599778,0.8595406815310028,-1.4065693940767365,0.856283332373718
images/filigrees/Corale 11/C11-28v_greens-croppedC.jpg,-0.8560479149691115,0.9614274581052457,-0.8727373692680839,0.949876891258669,-0.8710128413181343,0.959576948564122,-0.836795862834067,0.9292105564182767,-0.8462720804968937,0.9502008998653158
images/filigrees/Corale 11/C11-109v-Heart I-3-croppedS2.jpg,-0.7402110604419349,0.9101926818372791,-0.6384304088118875,0.8753651301145705,-0.5704770565551937,0.8128277678603985,-0.6457315935538944,0.8798303492964625,-0.6427550806420225,0.8795435775097334
