@relation case_c_color

@attribute Image {'images/filigrees/Corale 19/Chp 19 - .098v.png','images/filigrees/Corale 19/C19-0-Grisaille-cropped.jpg','images/filigrees/Corale 19/c19-82v-Unfinished A-2-cropped.jpg','images/filigrees/Corale 19/C19-36v037r-croppedM.jpg','images/filigrees/Corale 19/Chp 19 - .095r.png','images/filigrees/Corale 19/C19-82r-cropped.jpg','images/filigrees/Corale 19/C19-59r-2-cropped.jpg','images/filigrees/Corale 19/Chp 19 - .083r.png','images/filigrees/Corale 19/Chp 19 - .082v.png','images/filigrees/Corale 19/C19-1r-I sapphire-2-cropped.jpg','images/filigrees/Corale 19/Chp 19 - 104v.png','images/filigrees/Corale 19/Chp 19 - .094r.png','images/filigrees/Corale 19/Chp 19 - 109r.png','images/filigrees/Corale 19/C19-119r-P black-2-cropped.jpg','images/filigrees/Corale 19/Chp 19 - .95v.png','images/filigrees/Corale 19/Chp 19 - .093r.png','images/filigrees/Corale 19/Chp 19 - .092v.png','images/filigrees/Corale 19/Chp 19 - 102v.png','images/filigrees/Corale 19/Chp 19 - 0.88v.png','images/filigrees/Corale 19/Chp 19 - .084r.png','images/filigrees/Corale 19/C19-102r-O-interlicked-2-cropped.jpg','images/filigrees/Corale 19/C19-86r-croppedP.jpg','images/filigrees/Corale 19/Chp 19 - 101v.png','images/filigrees/Corale 19/C19-110v-H filigree-cropped.jpg','images/filigrees/Corale 19/Chp 19 - .086v.png','images/filigrees/Corale 19/C19-37v-38r-cropped.jpg','images/filigrees/Corale 19/C19-85r-2-cropped.jpg','images/filigrees/Corale 19/C19-34r-cropped.jpg','images/filigrees/Corale 19/Chp 19 - .091v.png','images/filigrees/Corale 19/C19-59r-grisaille-2-cropped.jpg','images/filigrees/Corale 19/C19-35v-36r-cropped.jpg','images/filigrees/Corale 19/C19-35v-36r-croppedL.jpg','images/filigrees/Corale 19/Chp 19 - .097.png','images/filigrees/Corale 19/C19-36v037r-croppedS.jpg','images/filigrees/Corale 19/c19-14v-p-cropped.jpg','images/filigrees/Corale 19/Chp 19 - 107v.png','images/filigrees/Corale 19/Chp 19 - 110r.png','images/filigrees/Corale 19/C19-86r-cropped.jpg','images/filigrees/Corale 19/Chp 19 - .085.png','images/filigrees/Corale 19/Chp 19 - 106v.png','images/filigrees/Corale 19/C19-70v-added text-cropped.jpg'}
@attribute 'Slope Q1' numeric
@attribute 'R2 Q1' numeric
@attribute 'Slope Q2' numeric
@attribute 'R2 Q2' numeric
@attribute 'Slope Q3' numeric
@attribute 'R2 Q3' numeric
@attribute 'Slope Q4' numeric
@attribute 'R2 Q4' numeric
@attribute 'Slope Whole' numeric
@attribute 'R2 Whole' numeric

@data
'images/filigrees/Corale 19/Chp 19 - .098v.png',-0.041205,0.248893,-0.041106,0.241432,-0.071367,0.368526,-0.057887,0.30351,-0.108792,0.477298
'images/filigrees/Corale 19/C19-0-Grisaille-cropped.jpg',-0.53902,0.898153,-0.539667,0.905993,-0.51295,0.880702,-0.543383,0.902499,-0.725172,0.938613
'images/filigrees/Corale 19/c19-82v-Unfinished A-2-cropped.jpg',-0.612446,0.924954,-0.547707,0.895152,-0.612453,0.930469,-0.567239,0.916071,-0.722608,0.944331
'images/filigrees/Corale 19/C19-36v037r-croppedM.jpg',-0.440933,0.807544,-0.433837,0.825158,-0.399112,0.778397,-0.429005,0.808501,-0.575742,0.917043
'images/filigrees/Corale 19/Chp 19 - .095r.png',-0.048535,0.279107,-0.046474,0.276407,-0.043214,0.262305,-0.050853,0.291612,-0.110675,0.492199
'images/filigrees/Corale 19/C19-82r-cropped.jpg',-0.889571,0.950915,-0.944898,0.915655,-0.920401,0.958993,-0.939678,0.941861,-1.177548,0.914832
'images/filigrees/Corale 19/C19-59r-2-cropped.jpg',-0.782883,0.928801,-0.834433,0.942917,-0.801372,0.937709,-0.836799,0.951698,-1.070769,0.903974
'images/filigrees/Corale 19/Chp 19 - .083r.png',-0.08089,0.368472,-0.127245,0.480138,-0.094349,0.405007,-0.144381,0.490853,-0.155304,0.55497
'images/filigrees/Corale 19/Chp 19 - .082v.png',-0.085351,0.41441,-0.115884,0.490863,-0.077086,0.390853,-0.086482,0.410714,-0.1913,0.645481
'images/filigrees/Corale 19/C19-1r-I sapphire-2-cropped.jpg',-0.889342,0.961347,-0.955805,0.957987,-0.93735,0.968297,-0.980554,0.964571,-1.133566,0.945616
'images/filigrees/Corale 19/Chp 19 - 104v.png',-0.049834,0.281926,-0.059048,0.319189,-0.071131,0.367851,-0.078362,0.359958,-0.132262,0.5272
'images/filigrees/Corale 19/Chp 19 - .094r.png',-0.101823,0.45411,-0.071049,0.366616,-0.109318,0.459073,-0.078363,0.388997,-0.166391,0.604189
'images/filigrees/Corale 19/Chp 19 - 109r.png',-0.061065,0.329433,-0.034804,0.224384,-0.060584,0.323928,-0.045894,0.274581,-0.104324,0.472794
'images/filigrees/Corale 19/C19-119r-P black-2-cropped.jpg',-0.751906,0.954111,-0.755455,0.939088,-0.737633,0.954427,-0.797648,0.946336,-0.976669,0.939366
'images/filigrees/Corale 19/Chp 19 - .95v.png',-0.129226,0.506142,-0.094359,0.441122,-0.183022,0.603109,-0.127425,0.501752,-0.226553,0.694119
'images/filigrees/Corale 19/Chp 19 - .093r.png',-0.085703,0.41317,-0.070545,0.367272,-0.078858,0.389316,-0.061655,0.335549,-0.147071,0.566863
