Image,Slope Q1,R2 Q1,Slope Q2,R2 Q2,Slope Q3,R2 Q3,Slope Q4,R2 Q4,Slope Whole,R2 Whole
images/filigrees/Corale 19/Chp 19 - .098v.png,-0.041204724658717044,0.2488929201516642,-0.04110638227351459,0.24143207280202508,-0.07136736967182902,0.36852583273907363,-0.0578867421710057,0.3035098217077652,-0.10879248423712298,0.47729761227866724
images/filigrees/Corale 19/C19-0-Grisaille-cropped.jpg,-0.5390197074252554,0.898152972678442,-0.5396671293038863,0.9059927072971317,-0.5129500390231168,0.8807022229427516,-0.5433832011609455,0.9024994193026519,-0.7251723662683559,0.9386125486964897
images/filigrees/Corale 19/c19-82v-Unfinished A-2-cropped.jpg,-0.6124457153225964,0.9249544421620952,-0.5477067366589514,0.8951517015246553,-0.612452702075752,0.9304690094672136,-0.5672392213176348,0.9160708112063012,-0.7226079036718968,0.9443312961846035
images/filigrees/Corale 19/C19-36v037r-croppedM.jpg,-0.44093331982834516,0.8075443834376036,-0.4338370619971042,0.8251578036741115,-0.39911174583553616,0.7783969291813418,-0.4290050017175391,0.808501414302107,-0.5757420590739804,0.9170429566650593
images/filigrees/Corale 19/Chp 19 - .095r.png,-0.04853472117615286,0.2791069207126852,-0.04647385741101363,0.27640702901345204,-0.04321449841429397,0.26230475163990874,-0.05085330976079138,0.2916120164364491,-0.11067515012838772,0.492199418742421
images/filigrees/Corale 19/C19-82r-cropped.jpg,-0.8895713439776063,0.9509148884969015,-0.9448975724753474,0.9156546148019514,-0.920400692138542,0.9589925250542337,-0.9396783067024722,0.9418613774527959,-1.1775478897226368,0.9148321976821865
images/filigrees/Corale 19/C19-59r-2-cropped.jpg,-0.7828825510350491,0.9288009056825435,-0.8344331047920518,0.9429165563083358,-0.8013721478930026,0.9377089945862882,-0.8367985505024419,0.9516975577405781,-1.0707691170584321,0.9039744383551699
images/filigrees/Corale 19/Chp 19 - .083r.png,-0.08088961544767956,0.368471862263313,-0.1272446619002655,0.48013779043520904,-0.09434897896155431,0.4050070285697504,-0.14438119578908676,0.4908533227950585,-0.15530443944343353,0.5549695303452911
images/filigrees/Corale 19/Chp 19 - .082v.png,-0.08535089789694966,0.4144103590771399,-0.11588413417112647,0.490863358129326,-0.07708642513504889,0.3908526808604333,-0.08648212506885745,0.41071441802087844,-0.19130007277007938,0.6454806195092686
images/filigrees/Corale 19/C19-1r-I sapphire-2-cropped.jpg,-0.8893420846163205,0.9613470168475159,-0.9558049750487309,0.9579865566755668,-0.9373503153514624,0.9682974359700293,-0.9805536820909505,0.9645713295189084,-1.133566267140784,0.945615828667126
images/filigrees/Corale 19/Chp 19 - 104v.png,-0.049834187272678014,0.2819264881444392,-0.05904848070134182,0.3191894932625245,-0.07113058579677181,0.36785137923573896,-0.0783618436313177,0.3599577513275056,-0.13226158222895182,0.5271999069158355
images/filigrees/Corale 19/Chp 19 - .094r.png,-0.10182343586457437,0.45410997437751116,-0.07104856773577362,0.36661573867272645,-0.10931820288837255,0.4590725827655613,-0.07836302134971637,0.3889966697907894,-0.16639063075082783,0.6041894868145496
images/filigrees/Corale 19/Chp 19 - 109r.png,-0.061064678861416685,0.3294331275312689,-0.03480391744229157,0.22438377074656046,-0.060584157031325386,0.3239278929103772,-0.045893808321325356,0.27458130106499906,-0.1043241588861162,0.47279369949155875
images/filigrees/Corale 19/C19-119r-P black-2-cropped.jpg,-0.7519060814631842,0.9541113716254725,-0.7554547628226919,0.9390877733543788,-0.7376332312856485,0.9544268887297586,-0.7976476799921745,0.9463357689573421,-0.9766685810967806,0.9393660955526816
images/filigrees/Corale 19/Chp 19 - .95v.png,-0.12922573805377877,0.5061423163458946,-0.09435909490432526,0.44112174002372556,-0.1830217877409458,0.6031085372047476,-0.1274247996529887,0.5017522170766578,-0.22655333564947544,0.6941194099412797
images/filigrees/Corale 19/Chp 19 - .093r.png,-0.08570307130622665,0.4131696421754257,-0.07054491067242707,0.36727182152124194,-0.07885775953087051,0.38931593457928254,-0.061654876830976875,0.3355493497112709,-0.1470705749077139,0.5668631749148394
images/filigrees/Corale 19/Chp 19 - .092v.png,-0.0314546936629593,0.20500557803416666,-0.07998526430032332,0.38276509687064986,-0.05022065470256382,0.2896980192534019,-0.04511866222461649,0.2649580012923826,-0.0919814121990504,0.43531037732954014
images/filigrees/Corale 19/Chp 19 - 102v.png,-0.04269147950434566,0.26071687437306296,-0.053222012040013394,0.3024244452385704,-0.07661418064653672,0.38236316921703184,-0.08460684023304108,0.40177655836447307,-0.12542573818724775,0.5187155800359174
images/filigrees/Corale 19/Chp 19 - 0.88v.png,-0.08267643685957814,0.39614889774012324,-0.04729184123379393,0.27919477557376937,-0.07284329750387736,0.36084859950891335,-0.05683447405062238,0.31839817460429337,-0.12274058420507067,0.521137609516524
images/filigrees/Corale 19/Chp 19 - .084r.png,-0.048885056706124405,0.28692393391174087,-0.05344956937646283,0.30423061621619135,-0.05087779159068018,0.293422932385773,-0.05906062954032531,0.3208312843561461,-0.12210107431761896,0.5109645329572057
images/filigrees/Corale 19/C19-102r-O-interlicked-2-cropped.jpg,-0.954096129610046,0.9629880194505832,-0.9723810317969632,0.966741917756559,-0.9052763182450528,0.9596040108161,-0.9655984726737291,0.9622084053828199,-1.1984287637872524,0.9417794732762632
images/filigrees/Corale 19/C19-86r-croppedP.jpg,-0.4666214545567936,0.8754837833563375,-0.44186785284917207,0.8605850072162474,-0.4608414564702622,0.8714720711701164,-0.471219282652805,0.8907547700546615,-0.6490194085053123,0.9344232709025808
images/filigrees/Corale 19/Chp 19 - 101v.png,-0.07904003550344345,0.3910608176852134,-0.07416075306063459,0.3514259804520925,-0.07021284735101538,0.36070624298055975,-0.07904993576989822,0.39110050268469515,-0.13603068974302993,0.5457313188124077
images/filigrees/Corale 19/C19-110v-H filigree-cropped.jpg,-0.6904861949012909,0.9391293565409083,-0.6647869190043572,0.9166892899584234,-0.6782443235865676,0.930345354504225,-0.6636032454092641,0.9117354023923804,-0.9449167296427617,0.9005476240260277
images/filigrees/Corale 19/Chp 19 - .086v.png,-0.05983402876973921,0.32968596323308746,-0.046028607902154885,0.2766600248103472,-0.055686858594210076,0.31103037020660035,-0.0396055236705197,0.24886779793938796,-0.10901218568004079,0.48748507410026687
images/filigrees/Corale 19/C19-37v-38r-cropped.jpg,-0.4251183821774446,0.8270537875169744,-0.42098347405295033,0.8237721813160053,-0.3691480553365489,0.8040215653579044,-0.4215271534288897,0.8203993427124009,-0.5752085808869577,0.9223298768904051
images/filigrees/Corale 19/C19-85r-2-cropped.jpg,-0.6966561526002388,0.9482364460314592,-0.7068379869350728,0.9494254099112057,-0.7004212634261802,0.9494958381686084,-0.6972757856450192,0.9430413510690427,-0.91516389057438,0.9430405881904655
images/filigrees/Corale 19/C19-34r-cropped.jpg,-0.6347227232275917,0.9336541711394131,-0.5807823290536268,0.9234903755121601,-0.6013187809981286,0.9218561882490324,-0.6161642128295995,0.9254115909917046,-0.7746529743490337,0.9571534115046265
images/filigrees/Corale 19/Chp 19 - .091v.png,-0.09659066966447583,0.429096493149877,-0.0396190636146281,0.24682802565539172,-0.03845282649818718,0.23470906044749265,-0.07872517751648189,0.3715643467458712,-0.1171107747210031,0.4956434732745445
