Image,Slope Q1,R2 Q1,Slope Q2,R2 Q2,Slope Q3,R2 Q3,Slope Q4,R2 Q4,Slope Whole,R2 Whole
images/filigrees/Corale 19/Chp 19 - .098v.png,-0.7320424039397473,0.8151256989453924,-0.7137906082193977,0.794026445958041,-0.795766878316285,0.8482843561940534,-0.8026249258268082,0.8399600356535523,-0.654124377492498,0.8311376493209157
images/filigrees/Corale 19/C19-0-Grisaille-cropped.jpg,-1.3766927848541162,0.7290113165398822,-1.395945028868777,0.714985378288305,-1.390474967045029,0.7360155549483229,-1.343915867067147,0.7546721103740055,-1.3658883498994463,0.7489799314337082
images/filigrees/Corale 19/c19-82v-Unfinished A-2-cropped.jpg,-1.5405681126764097,0.7274008572671762,-1.3781484903864978,0.7430091201663825,-1.5799395318205351,0.7050804074642885,-1.4153977455143512,0.720085641990525,-1.6149822601533588,0.6972752988643048
images/filigrees/Corale 19/C19-36v037r-croppedM.jpg,-0.7719823845250187,0.8821969820794539,-0.9128691304944904,0.7899684257307555,-0.7538898337803241,0.9041578977131873,-0.9156407950949541,0.8175955347855631,-0.8021545713223944,0.8797941060513385
images/filigrees/Corale 19/Chp 19 - .095r.png,-0.871026517735259,0.8230689410968166,-0.7350415003282817,0.7126331279025487,-0.8136239908138436,0.8188441721907082,-0.8863049674072796,0.8344302764431545,-0.8050923246731794,0.7669589481651945
images/filigrees/Corale 19/C19-82r-cropped.jpg,-1.4903260345720457,0.776440925094151,-1.1483872225458789,0.7445225572909179,-1.7048338274454848,0.7257026915200151,-1.5320948765137046,0.7482351173092928,-1.4137969636054053,0.772453495943662
images/filigrees/Corale 19/C19-59r-2-cropped.jpg,-1.2856557201531646,0.8742685735759094,-1.2445107560638966,0.8960568735152606,-1.218146893542014,0.882493740286734,-1.1992710205818045,0.9172149041359977,-1.2346673380087303,0.8945184371027141
images/filigrees/Corale 19/Chp 19 - .083r.png,-0.7519125240804725,0.8511127179617393,-0.8663861857633491,0.8895178085022951,-0.8374248272668235,0.866576991194846,-0.833517576036671,0.8859215699955323,-0.7083083469157325,0.8811495059652674
images/filigrees/Corale 19/Chp 19 - .082v.png,-0.8577217941408981,0.86313154219255,-0.833074139190212,0.8768774089149268,-0.8450344683134025,0.8580200027624885,-0.8489848575992185,0.8811626776272888,-0.7948952099799032,0.8304667240022026
images/filigrees/Corale 19/C19-1r-I sapphire-2-cropped.jpg,-1.113040206219147,0.9725110622623634,-1.1287376538078266,0.9682768270040043,-1.1558045349235793,0.971573442071632,-1.1968738854232581,0.9629862895010525,-1.1455560037435895,0.9741457469546568
images/filigrees/Corale 19/Chp 19 - 104v.png,-0.7853250756202486,0.8379847654916182,-0.7507369711103709,0.7944819546678858,-0.8571296364443529,0.8475968693983218,-0.797116136392587,0.8151585233415648,-0.6734522663465513,0.8386715442926297
images/filigrees/Corale 19/Chp 19 - .094r.png,-0.8559875373878943,0.8643986592958837,-0.7642583665531413,0.7715024126388229,-0.8730010310160281,0.8769694145564182,-0.822200705268715,0.8660915643961291,-0.7411659802343411,0.8927029225642132
images/filigrees/Corale 19/Chp 19 - 109r.png,-0.6755836546115842,0.7962700057325881,-0.7119319451003993,0.7138103595698816,-0.6655309669248939,0.7631696000929353,-0.6711472247887762,0.7916178013679439,-0.5913718523397029,0.7742958647133585
images/filigrees/Corale 19/C19-119r-P black-2-cropped.jpg,-0.9992685803129815,0.9469662123534112,-1.026497204826428,0.9209298237241172,-1.042179068709095,0.9549057255049748,-1.0528024441730404,0.9000707720163061,-1.0288385457431186,0.934268583571481
images/filigrees/Corale 19/Chp 19 - .95v.png,-0.8446838103040533,0.8633147810963935,-0.7702937190993846,0.8297867975851074,-0.8886356105699644,0.8872958863661792,-0.8085867995557021,0.829350054630798,-0.739927121098753,0.8700808109569039
images/filigrees/Corale 19/Chp 19 - .093r.png,-0.8374095183268778,0.8037897461559673,-0.8410136527026603,0.8009952282574574,-0.8128001836573232,0.7799334443014053,-0.8497372421361419,0.8267896642672593,-0.8270976166836227,0.7307547207852729
images/filigrees/Corale 19/Chp 19 - .092v.png,-0.6885860465155308,0.7720868446428667,-0.7049134381094362,0.8081297968606121,-0.7179586275036983,0.8096905345673702,-0.7802672200618308,0.8487729967955063,-0.6172431994292278,0.8079414850358911
images/filigrees/Corale 19/Chp 19 - 102v.png,-0.7551112209121472,0.7395239506233258,-0.7286661338741116,0.8225110937758744,-0.7708037019224618,0.802472898083034,-0.7669780904331109,0.8066695466830653,-0.6493173364443878,0.8317726484494699
images/filigrees/Corale 19/Chp 19 - 0.88v.png,-0.846304452241054,0.7966440292287595,-0.7680438870935008,0.7502705811084507,-0.8259533154874092,0.7895876123259445,-0.8303105498140196,0.7782188635337175,-0.7864966040235589,0.7295495339553717
images/filigrees/Corale 19/Chp 19 - .084r.png,-0.6718727349933317,0.7570098779832923,-0.6197182073560195,0.7726287315154121,-0.7126196949021965,0.7789223952507254,-0.713962067547398,0.7687869190215229,-0.5932943855965953,0.7879848334377361
images/filigrees/Corale 19/C19-102r-O-interlicked-2-cropped.jpg,-1.16570551699801,0.9194841764998527,-1.1005832301877925,0.951683732936999,-1.2749390272679246,0.8960725189548828,-1.0605986874379751,0.9460521543061194,-1.1403813168366017,0.9335802184534552
images/filigrees/Corale 19/C19-86r-croppedP.jpg,-0.8671666847021432,0.8577514953403719,-0.9988507002895023,0.8016199488291857,-0.9360232509202192,0.8424140487857674,-1.1720039251204741,0.7644875818114019,-0.9689833567089513,0.836515312544713
images/filigrees/Corale 19/Chp 19 - 101v.png,-0.831503434989126,0.8745284712433238,-0.8158176607462685,0.8420252148261018,-0.7804904334494444,0.8466887896039514,-0.7814369052747141,0.8333087538785128,-0.7047311375883752,0.8421809261490428
images/filigrees/Corale 19/C19-110v-H filigree-cropped.jpg,-0.7694453606665265,0.9208642548899958,-0.6934608050312794,0.8823929408392462,-0.7709918425569271,0.9300668484516296,-0.7050890561516157,0.8912355682086934,-0.73463306306058,0.9094973435659123
images/filigrees/Corale 19/Chp 19 - .086v.png,-0.6437940456414899,0.7739866403972079,-0.701131648214676,0.730557284396831,-0.6782493085219837,0.7922055563774175,-0.6815915358194193,0.6879396264875965,-0.6227810900188085,0.7815959508776005
images/filigrees/Corale 19/C19-37v-38r-cropped.jpg,-0.7155549230038928,0.9089724589784175,-0.6383038952404685,0.8536335825034393,-0.6231005762618955,0.8601737421117398,-0.7785570202167844,0.92785979480425,-0.6603834701728654,0.8647032879197027
images/filigrees/Corale 19/C19-85r-2-cropped.jpg,-0.8115175531356872,0.9588770982335213,-0.7960361211297803,0.9502382889242565,-0.7663871833763266,0.9503822406647714,-0.7741400923216691,0.9478507123044392,-0.7856945755748544,0.9542239889822571
images/filigrees/Corale 19/C19-34r-cropped.jpg,-0.8817488157453239,0.9615189204874509,-0.872384592927694,0.9572628363797396,-0.8644539702797038,0.9551948445183117,-0.8750069235510014,0.9560662939486032,-0.8585941536439545,0.9585333987802442
