Image,Slope Q1,R2 Q1,Slope Q2,R2 Q2,Slope Q3,R2 Q3,Slope Q4,R2 Q4,Slope Whole,R2 Whole
images/filigrees/Corale 5/C5-119r.jpg,-0.6690221946195213,0.9145647120314758,-0.7174733064759562,0.9295471235106876,-0.7670323081927141,0.9422226430867136,-0.8181338696926844,0.9417175641824583,-0.9198359462508806,0.9674392078989836
images/filigrees/Corale 5/C5-31r-2-cropped.jpg,-0.8081504746371345,0.9455815483570674,-0.8059158125138818,0.9580209068887837,-0.7664771562912529,0.9317065495447902,-0.8079278218378447,0.9574499571058285,-1.0143823368385323,0.9690138172494813
images/filigrees/Corale 5/C5-134v.jpg,-0.7196809895567672,0.9395582041170341,-0.6674064186589949,0.9319362535786418,-0.6885401124535798,0.9378393625600623,-0.6400871874468748,0.9301607426795945,-0.8911338776860704,0.9606969752400407
images/filigrees/Corale 5/C5-135r.jpg,-0.7353643161757618,0.9506511688630302,-0.7336224382078046,0.9497884995237956,-0.7376119754730788,0.9511240588906766,-0.7287581422906463,0.9504887873474198,-0.968262277730253,0.9605823253903822
images/filigrees/Corale 5/C5-123r.jpg,-0.689935471088934,0.9312197404412484,-0.6983941824011825,0.9384809106126032,-0.6737067526612285,0.9365790080337348,-0.6990339853198804,0.9236565959965203,-0.9020577442742308,0.9665566913412748
images/filigrees/Corale 5/C5-122v.jpg,-0.6660088207240353,0.898429027056113,-0.6363493943282116,0.9223850591692166,-0.6068897759552625,0.9101461505466296,-0.6493324271190135,0.8997949910636622,-0.8388834950557538,0.9608740186963977
images/filigrees/Corale 5/C5-74v-cropped.jpg,-0.68713683369812,0.9473950408410311,-0.6918621386943765,0.9461852486049712,-0.6963734765187359,0.949950834383545,-0.6484751328310312,0.9388049488508237,-0.9224772214652576,0.9292026320939981
images/filigrees/Corale 5/C5-138v-Jerome-croppedC.jpg,-0.6904342890120191,0.919796849196366,-0.6453690643337365,0.9087726598014436,-0.7266751306309946,0.9243185249674997,-0.6763814798480196,0.8940498919197207,-0.9034223268111591,0.8540938579511889
images/filigrees/Corale 5/C5-107v-Michael-cropped.jpg,-0.6023786515630278,0.9321450109013647,-0.5219427489810815,0.9043641587582878,-0.6012706769486452,0.9285909019043762,-0.6048581099484981,0.9051677065647055,-0.8004567800674035,0.9174231835332051
images/filigrees/Corale 5/C5-114v.jpg,-0.703284447528328,0.9427289480935909,-0.6540302973557627,0.9349900385866561,-0.6378431510923671,0.9341125672169803,-0.6944427470526778,0.9395879367004094,-0.917475766391771,0.9507233464554631
images/filigrees/Corale 5/C5-115r.jpg,-0.7001310734966769,0.9212161771843748,-0.7133906107038898,0.9398926169588419,-0.7508714009355105,0.9393286320064463,-0.686301047902625,0.9383601032188044,-0.9253745471800559,0.9663265225898872
images/filigrees/Corale 5/C5-138v-Jerome-croppedU.jpg,-0.5137339982714105,0.8827883108361155,-0.5105356605207825,0.8925282592932086,-0.5524987426840541,0.9018340350994059,-0.5070061701136849,0.8956627934351136,-0.7056526959889486,0.9411177280067271
images/filigrees/Corale 5/C5-108r-Michael-cropped.jpg,-0.5636511401805396,0.9188530433527611,-0.5415256081128319,0.9014467799838781,-0.500158095522116,0.8875952234816551,-0.525814296892168,0.9064152421828746,-0.77069188227661,0.9206538592268789
images/filigrees/Corale 5/C5-133v-C.jpg,-0.7215257984606969,0.9495162866349448,-0.6675373988037124,0.944016058075772,-0.8143307104471912,0.9440412623796315,-0.7413377075498371,0.9527492814508052,-0.9647078495303586,0.9515685228575295
images/filigrees/Corale 5/C5-2r-cropped.jpg,-0.5731489390156967,0.8687652058647831,-0.5478643016711634,0.8639516464762794,-0.5803495796803952,0.8430457654198257,-0.5672949459090104,0.8591289303441647,-0.727608745586536,0.9441391296686776
images/filigrees/Corale 5/C5-114r.jpg,-0.7164332786156623,0.9330502555332238,-0.8631961819175812,0.9428488800752124,-0.6882601866172865,0.937148293483627,-0.6777502424079082,0.928952448414303,-0.9324102883551862,0.9626872035830172
images/filigrees/Corale 5/C5-133v-U.jpg,-0.5867153555507083,0.9164614829839715,-0.6358112085774427,0.9099130513187688,-0.5739755546274488,0.9133020480314675,-0.5835392499013041,0.9096675514562813,-0.788204018300456,0.9537759419350853
images/filigrees/Corale 5/C5-133r-S.jpg,-0.6791155865339301,0.9274036311139116,-0.6755375454195994,0.9377259568444947,-0.6907452789643489,0.9357067515579381,-0.6845773980245015,0.9382013024969132,-0.9153359695952127,0.9628068385427934
images/filigrees/Corale 5/C5-63r--cropped.jpg,-0.5920510790991754,0.9002581382267585,-0.5530542442329357,0.8914112125617452,-0.6135001077910727,0.8949435868640128,-0.5526012213302376,0.8896787616745006,-0.7632972612583351,0.9469388173567174
images/filigrees/Corale 5/C5-122r.jpg,-0.6242819910012339,0.9122410191816778,-0.5652792381119944,0.9099824113018659,-0.596160543265474,0.9220745716068037,-0.5327462511772976,0.9112624485018852,-0.8302412819560213,0.9308052513852102
images/filigrees/Corale 5/C5-135v.jpg,-0.6722233341849266,0.9335231689943081,-0.6740801300390237,0.9307319942530127,-0.656200295282598,0.9214096843559633,-0.6360344898419432,0.9226526419010369,-0.8633145815746995,0.9607963978120149
images/filigrees/Corale 5/C5-30v-2-cropped.jpg,-0.7437289046974798,0.9475512865609332,-0.7664235986168068,0.9498000772106574,-0.7358266762963227,0.9463070301781166,-0.7590731929515442,0.9548175441107916,-0.9672645496020063,0.9630869520976945
images/filigrees/Corale 5/C5-118r.jpg,-0.6580586686094374,0.9361664018147309,-0.6856727788567166,0.9420110184983456,-0.6976175302599577,0.9315697434605308,-0.6906087848763459,0.9441894771616048,-0.8730816584841451,0.9450054739610885
images/filigrees/Corale 5/C5-119v.jpg,-0.7056176857162388,0.9254464374938551,-0.6386555563804208,0.9198769589001832,-0.6853549722206825,0.9214302679863776,-0.6666354492406235,0.9281315133471818,-0.8755220089582446,0.9635521458447357
images/filigrees/Corale 5/C5-37r-star of david-cropped.jpg,-0.9083430711916302,0.9684089813643528,-0.9477262560867924,0.9673629428059646,-0.9658491851499257,0.9585932021480612,-0.9375052941518067,0.9696627553714487,-1.1870510551486027,0.9553148975743098
images/filigrees/Corale 5/C5-106v-Michael-cropped.jpg,-0.6104709392087398,0.930605367395153,-0.5903637698384605,0.9253988687984956,-0.49434836128629855,0.8964463961673202,-0.5484735462268459,0.91677705243568,-0.80392583422174,0.9233664702473902
images/filigrees/Corale 5/C5-112v.jpg,-0.640314922328734,0.8933822561258448,-0.6242806540093956,0.8862638110481593,-0.5985543684618024,0.8979450416049155,-0.5782711943232284,0.8917795607126136,-0.786252407930167,0.9576994450435776
images/filigrees/Corale 5/C5-129r.jpg,-0.66018863292732,0.921325305836765,-0.6232003814685738,0.9271080058014024,-0.6298500224523145,0.9228902669980127,-0.6201805276282215,0.90940215175699,-0.8482777256288644,0.9574599956374057
images/filigrees/Corale 5/C5-128v.jpg,-0.6648632832274958,0.8985186062023313,-0.663659351609816,0.9326550335376184,-0.6568137902250869,0.9307213500265286,-0.6762477499677328,0.9267068642485242,-0.8633198407720384,0.962914332615551
