@relation case_e_edge

@attribute Image {'images/filigrees/Corale 5/C5-119r.jpg','images/filigrees/Corale 5/C5-31r-2-cropped.jpg','images/filigrees/Corale 5/C5-134v.jpg','images/filigrees/Corale 5/C5-135r.jpg','images/filigrees/Corale 5/C5-123r.jpg','images/filigrees/Corale 5/C5-122v.jpg','images/filigrees/Corale 5/C5-74v-cropped.jpg','images/filigrees/Corale 5/C5-138v-Jerome-croppedC.jpg','images/filigrees/Corale 5/C5-107v-Michael-cropped.jpg','images/filigrees/Corale 5/C5-114v.jpg','images/filigrees/Corale 5/C5-115r.jpg','images/filigrees/Corale 5/C5-138v-Jerome-croppedU.jpg','images/filigrees/Corale 5/C5-108r-Michael-cropped.jpg','images/filigrees/Corale 5/C5-133v-C.jpg','images/filigrees/Corale 5/C5-2r-cropped.jpg','images/filigrees/Corale 5/C5-114r.jpg','images/filigrees/Corale 5/C5-133v-U.jpg','images/filigrees/Corale 5/C5-133r-S.jpg','images/filigrees/Corale 5/C5-63r--cropped.jpg','images/filigrees/Corale 5/C5-122r.jpg','images/filigrees/Corale 5/C5-135v.jpg','images/filigrees/Corale 5/C5-30v-2-cropped.jpg','images/filigrees/Corale 5/C5-118r.jpg','images/filigrees/Corale 5/C5-119v.jpg','images/filigrees/Corale 5/C5-37r-star of david-cropped.jpg','images/filigrees/Corale 5/C5-106v-Michael-cropped.jpg','images/filigrees/Corale 5/C5-112v.jpg','images/filigrees/Corale 5/C5-129r.jpg','images/filigrees/Corale 5/C5-128v.jpg','images/filigrees/Corale 5/C5-109r.jpg','images/filigrees/Corale 5/C5-108v.jpg','images/filigrees/Corale 5/C5-132v.jpg','images/filigrees/Corale 5/C5-124v.jpg','images/filigrees/Corale 5/C5-125v.jpg','images/filigrees/Corale 5/C5-124r.jpg','images/filigrees/Corale 5/C5-132r.jpg','images/filigrees/Corale 5/C5-106r-Michael-cropped.jpg','images/filigrees/Corale 5/C5-108r.jpg','images/filigrees/Corale 5/C5-128r.jpg','images/filigrees/Corale 5/C5-129v.jpg','images/filigrees/Corale 5/C5-112r.jpg','images/filigrees/Corale 5/C5-113v.jpg','images/filigrees/Corale 5/C5-12r-cropped.jpg','images/filigrees/Corale 5/C5-130v-U.jpg','images/filigrees/Corale 5/C5-110v.jpg','images/filigrees/Corale 5/C5-111r.jpg','images/filigrees/Corale 5/C5-0-sample I-cropped.jpg','images/filigrees/Corale 5/C5-106v.jpg','images/filigrees/Corale 5/C5-127r.jpg','images/filigrees/Corale 5/C5-126v.jpg','images/filigrees/Corale 5/C5-131r.jpg','images/filigrees/Corale 5/C5-42r-cropped.jpg','images/filigrees/Corale 5/C5-44v-51r_-2-cropped.jpg','images/filigrees/Corale 5/C5-131v.jpg','images/filigrees/Corale 5/C5-130r.jpg','images/filigrees/Corale 5/C5-126r.jpg','images/filigrees/Corale 5/C5-127v.jpg','images/filigrees/Corale 5/C5-107v.jpg','images/filigrees/Corale 5/C5-16r-detail-cropped.jpg','images/filigrees/Corale 5/C5-111v.jpg','images/filigrees/Corale 5/C5-110r.jpg','images/filigrees/Corale 5/C5-130v-P.jpg','images/filigrees/Corale 5/C5-75v-pink in g-2-cropped.jpg','images/filigrees/Corale 5/C5-133r-H.jpg','images/filigrees/Corale 5/C5-120v.jpg','images/filigrees/Corale 5/C5-121r.jpg','images/filigrees/Corale 5/C5-157v-2-cropped.jpg','images/filigrees/Corale 5/C5-137r.jpg','images/filigrees/Corale 5/C5-136v.jpg','images/filigrees/Corale 5/C5-116v.jpg','images/filigrees/Corale 5/C5-35r-D Completion-2-cropped.jpg','images/filigrees/Corale 5/C5-31v-tiles-2-cropped.jpg','images/filigrees/Corale 5/C5-41v-cropped.jpg','images/filigrees/Corale 5/C5-118r copy.jpg','images/filigrees/Corale 5/C5-116r.jpg','images/filigrees/Corale 5/C5-136r.jpg','images/filigrees/Corale 5/C5-108v-Michale-2-cropped.jpg','images/filigrees/Corale 5/C5-137v.jpg'}
@attribute 'Slope Q1' numeric
@attribute 'R2 Q1' numeric
@attribute 'Slope Q2' numeric
@attribute 'R2 Q2' numeric
@attribute 'Slope Q3' numeric
@attribute 'R2 Q3' numeric
@attribute 'Slope Q4' numeric
@attribute 'R2 Q4' numeric
@attribute 'Slope Whole' numeric
@attribute 'R2 Whole' numeric

@data
'images/filigrees/Corale 5/C5-119r.jpg',-0.884729,0.930803,-0.864874,0.939697,-0.925268,0.937301,-0.943222,0.941269,-0.885542,0.931039
'images/filigrees/Corale 5/C5-31r-2-cropped.jpg',-1.149406,0.944251,-0.912175,0.958055,-1.201046,0.944358,-0.969053,0.960445,-1.045611,0.958252
'images/filigrees/Corale 5/C5-134v.jpg',-0.849748,0.911458,-0.743526,0.822533,-0.824663,0.90625,-0.716572,0.860828,-0.773409,0.878746
'images/filigrees/Corale 5/C5-135r.jpg',-0.79702,0.916444,-0.751627,0.915456,-0.779894,0.927424,-0.778786,0.923226,-0.770013,0.920384
'images/filigrees/Corale 5/C5-123r.jpg',-0.732434,0.910041,-0.687347,0.907441,-0.706922,0.90062,-0.846773,0.928782,-0.730121,0.905562
'images/filigrees/Corale 5/C5-122v.jpg',-0.943394,0.927911,-0.792804,0.926623,-0.832023,0.906391,-0.917462,0.938533,-0.855952,0.927516
'images/filigrees/Corale 5/C5-74v-cropped.jpg',-0.796961,0.942716,-0.757061,0.925556,-0.759511,0.925992,-0.717129,0.908412,-0.75611,0.929061
'images/filigrees/Corale 5/C5-138v-Jerome-croppedC.jpg',-2.174761,0.865628,-2.133898,0.854159,-2.253697,0.882376,-2.212121,0.878933,-2.26152,0.836338
'images/filigrees/Corale 5/C5-107v-Michael-cropped.jpg',-0.818486,0.947699,-0.695516,0.870947,-0.837947,0.957172,-0.734395,0.854855,-0.77155,0.922507
'images/filigrees/Corale 5/C5-114v.jpg',-0.991644,0.832276,-0.875876,0.789828,-0.978392,0.809555,-0.995985,0.823393,-0.94074,0.826714
'images/filigrees/Corale 5/C5-115r.jpg',-0.963172,0.957879,-0.840937,0.948859,-0.930487,0.936361,-0.877047,0.933163,-0.891616,0.948191
'images/filigrees/Corale 5/C5-138v-Jerome-croppedU.jpg',-1.97827,0.886433,-1.911556,0.872022,-2.02114,0.846702,-2.04594,0.828326,-2.00908,0.872357
'images/filigrees/Corale 5/C5-108r-Michael-cropped.jpg',-0.838741,0.906521,-0.865624,0.822282,-0.808965,0.784676,-1.017113,0.866436,-0.874118,0.858038
'images/filigrees/Corale 5/C5-133v-C.jpg',-1.157224,0.869007,-1.058986,0.784983,-1.339852,0.859999,-1.275454,0.821242,-1.194684,0.84425
'images/filigrees/Corale 5/C5-2r-cropped.jpg',-0.937145,0.960338,-0.99347,0.969015,-1.016367,0.968563,-0.962474,0.966213,-0.955108,0.963743
'images/filigrees/Corale 5/C5-114r.jpg',-1.163288,0.8838,-1.36963,0.87173,-0.953756,0.943609,-0.869661,0.887484,-1.049727,0.921896
'images/filigrees/Corale 5/C5-133v-U.jpg',-1.269251,0.716359,-1.400528,0.784275,-1.368516,0.732606,-1.375939,0.733496,-1.380587,0.722759
'images/filigrees/Corale 5/C5-133r-S.jpg',-0.884366,0.908221,-0.649886,0.834065,-0.842863,0.921844,-0.740957,0.865196,-0.763723,0.878854
'images/filigrees/Corale 5/C5-63r--cropped.jpg',-0.894017,0.960685,-0.806261,0.925697,-0.991458,0.97392,-0.884698,0.950193,-0.87386,0.94999
'images/filigrees/Corale 5/C5-122r.jpg',-1.121288,0.758429,-1.040079,0.806474,-1.12325,0.787066,-1.041004,0.761479,-1.065223,0.797017
'images/filigrees/Corale 5/C5-135v.jpg',-1.622666,0.755784,-1.51824,0.767258,-1.602536,0.773062,-1.607258,0.766491,-1.709126,0.720144
'images/filigrees/Corale 5/C5-30v-2-cropped.jpg',-0.96749,0.919809,-1.0356,0.889981,-1.091023,0.879038,-1.061812,0.90144,-1.033469,0.902847
'images/filigrees/Corale 5/C5-118r.jpg',-1.211507,0.777697,-1.281075,0.740094,-1.117127,0.874343,-1.269552,0.763566,-1.188434,0.816884
'images/filigrees/Corale 5/C5-119v.jpg',-1.418111,0.817221,-1.400274,0.778883,-1.373197,0.759329,-1.334792,0.778472,-1.377687,0.792834
'images/filigrees/Corale 5/C5-37r-star of david-cropped.jpg',-1.150282,0.93646,-1.071224,0.930561,-1.200429,0.843306,-1.248475,0.898339,-1.158996,0.909427
'images/filigrees/Corale 5/C5-106v-Michael-cropped.jpg',-1.023374,0.840952,-0.911865,0.808923,-0.791808,0.794823,-0.967132,0.834447,-0.912348,0.836692
