@relation case_f_color

@attribute Image {'images/filigrees/Corale 1/C1-140v-G2-cropped.jpg','images/filigrees/Corale 1/C1-101v-AQ filigree-2-cropped.jpg','images/filigrees/Corale 1/C1-103v-A sapphires-cropped.jpg','images/filigrees/Corale 1/C1-19v-20r-Magdalene-cropped.jpg','images/filigrees/Corale 1/C1-22v-E w filigree 2-cropped.jpg','images/filigrees/Corale 1/C1-50v-P w cross-2-cropped.jpg','images/filigrees/Corale 1/C1-170v-G-cropped.jpg','images/filigrees/Corale 1/C1-143v-144r-O, A grisaille-croppedO.jpg','images/filigrees/Corale 1/C1-25v-Q-2-cropped.jpg','images/filigrees/Corale 1/C1-20v-21r-Magdanele hymn 2-cropped.jpg','images/filigrees/Corale 1/C1-47r-H-3-cropped.jpg','images/filigrees/Corale 1/C1-16r-S w mandorla-croppedS.jpg','images/filigrees/Corale 1/C1-84v-Letter P-1-cropped.jpg','images/filigrees/Corale 1/C1-24v-Letter I-1-croppedS.jpg','images/filigrees/Corale 1/C1-24v-Letter I-1-croppedR.jpg','images/filigrees/Corale 1/C1-31v-32r-cropped.jpg','images/filigrees/Corale 1/C1-29v-30r-cropped.jpg','images/filigrees/Corale 1/C1-28r-O-cropped.jpg','images/filigrees/Corale 1/C1-30v-31r-croppedO.jpg','images/filigrees/Corale 1/C1-23v-S-cropped.jpg','images/filigrees/Corale 1/C1-160v-B2-cropped.jpg','images/filigrees/Corale 1/C1-16r-S w mandorla-croppedA.jpg','images/filigrees/Corale 1/C1-21v-Mary Magdalene hymn 3-cropped.jpg','images/filigrees/Corale 1/C1-27v-S-2-cropped.jpg','images/filigrees/Corale 1/C1-173-A2-cropped.jpg','images/filigrees/Corale 1/C1-142v-T2-cropped.jpg','images/filigrees/Corale 1/C1-20v-21r-Magdanele hymn 2-croppedE.jpg','images/filigrees/Corale 1/C1-46r-Q-cropped.jpg','images/filigrees/Corale 1/C1-51r-M church-cropped.jpg','images/filigrees/Corale 1/C1-110v-N-3-cropped.jpg','images/filigrees/Corale 1/C1-31v-32r-croppedC.jpg','images/filigrees/Corale 1/C1-75r-O-cropped.jpg','images/filigrees/Corale 1/C1-130v-8h-cropped.jpg','images/filigrees/Corale 1/C1-28r-O completion-cropped.jpg','images/filigrees/Corale 1/C1-28v-29r-croppedh.jpg','images/filigrees/Corale 1/C1-88r-O Sapphires 6-cropped.jpg','images/filigrees/Corale 1/C1-99r-2-cropped.jpg','images/filigrees/Corale 1/C1-143v-144r-O, A grisaille-croppedA.jpg','images/filigrees/Corale 1/C1-2r-Opening V-cropped.jpg','images/filigrees/Corale 1/C1-28v-29r-croppedM.jpg','images/filigrees/Corale 1/C1-89r-E hatching-cropped.jpg','images/filigrees/Corale 1/C1-76v-E-cropped.jpg','images/filigrees/Corale 1/C1-45r-E hatching 2-cropped.jpg','images/filigrees/Corale 1/C1-170v-172r-G-cropped.jpg','images/filigrees/Corale 1/C1-2v _ 4r-cropped.jpg'}
@attribute 'Slope Q1' numeric
@attribute 'R2 Q1' numeric
@attribute 'Slope Q2' numeric
@attribute 'R2 Q2' numeric
@attribute 'Slope Q3' numeric
@attribute 'R2 Q3' numeric
@attribute 'Slope Q4' numeric
@attribute 'R2 Q4' numeric
@attribute 'Slope Whole' numeric
@attribute 'R2 Whole' numeric

@data
'images/filigrees/Corale 1/C1-140v-G2-cropped.jpg',-0.867071,0.960203,-0.823201,0.932292,-0.844284,0.944087,-0.845736,0.955024,-1.092865,0.917967
'images/filigrees/Corale 1/C1-101v-AQ filigree-2-cropped.jpg',-0.767763,0.95727,-0.716016,0.949558,-0.759297,0.958173,-0.69133,0.94315,-0.942863,0.92483
'images/filigrees/Corale 1/C1-103v-A sapphires-cropped.jpg',-0.865149,0.949758,-0.781137,0.931354,-0.847317,0.94019,-0.881768,0.938621,-1.066472,0.899804
'images/filigrees/Corale 1/C1-19v-20r-Magdalene-cropped.jpg',-0.415,0.845646,-0.404189,0.85463,-0.422325,0.864466,-0.37623,0.841043,-0.607354,0.925925
'images/filigrees/Corale 1/C1-22v-E w filigree 2-cropped.jpg',-0.958028,0.968508,-0.936621,0.950772,-0.954419,0.952585,-0.953736,0.939005,-1.184039,0.919806
'images/filigrees/Corale 1/C1-50v-P w cross-2-cropped.jpg',-1.0464,0.976051,-1.02622,0.930687,-1.087982,0.977051,-1.044571,0.949875,-1.272093,0.926367
'images/filigrees/Corale 1/C1-170v-G-cropped.jpg',-0.564559,0.924649,-0.577285,0.926459,-0.593348,0.930042,-0.611036,0.933931,-0.812211,0.923554
'images/filigrees/Corale 1/C1-143v-144r-O, A grisaille-croppedO.jpg',-0.381145,0.829472,-0.364022,0.814494,-0.343333,0.816575,-0.339188,0.804219,-0.525536,0.911691
'images/filigrees/Corale 1/C1-25v-Q-2-cropped.jpg',-0.961168,0.950866,-0.940009,0.946779,-0.97823,0.964148,-0.949151,0.95805,-1.213879,0.913629
'images/filigrees/Corale 1/C1-20v-21r-Magdanele hymn 2-cropped.jpg',-0.567588,0.918799,-0.489702,0.900126,-0.529982,0.910635,-0.527138,0.910905,-0.74379,0.931106
'images/filigrees/Corale 1/C1-47r-H-3-cropped.jpg',-0.824277,0.959346,-0.923142,0.968101,-0.789236,0.954446,-0.834881,0.954195,-1.058592,0.96057
'images/filigrees/Corale 1/C1-16r-S w mandorla-croppedS.jpg',-0.517725,0.910859,-0.466184,0.88975,-0.541782,0.912139,-0.527655,0.91383,-0.704664,0.919631
'images/filigrees/Corale 1/C1-84v-Letter P-1-cropped.jpg',-0.750235,0.935676,-0.656175,0.944037,-0.790834,0.945812,-0.730216,0.949033,-0.922213,0.960726
'images/filigrees/Corale 1/C1-24v-Letter I-1-croppedS.jpg',-0.58028,0.910937,-0.521087,0.902604,-0.526185,0.906795,-0.541314,0.89179,-0.76595,0.946538
'images/filigrees/Corale 1/C1-24v-Letter I-1-croppedR.jpg',-0.533134,0.892593,-0.500621,0.896872,-0.491108,0.876145,-0.465995,0.88628,-0.683473,0.942354
'images/filigrees/Corale 1/C1-31v-32r-cropped.jpg',-0.430607,0.870874,-0.380276,0.844929,-0.407922,0.86213,-0.372933,0.842222,-0.603836,0.902241
'images/filigrees/Corale 1/C1-29v-30r-cropped.jpg',-0.436714,0.871,-0.423395,0.869862,-0.380871,0.84766,-0.371369,0.844991,-0.612043,0.920464
'images/filigrees/Corale 1/C1-28r-O-cropped.jpg',-0.657257,0.936107,-0.670528,0.942963,-0.644361,0.930296,-0.652409,0.937271,-0.844601,0.95258
