Image,Slope Q1,R2 Q1,Slope Q2,R2 Q2,Slope Q3,R2 Q3,Slope Q4,R2 Q4,Slope Whole,R2 Whole
images/filigrees/Corale 1/C1-89r-E hatching-2-cropped.png,-0.12993750621513803,0.4862378625181303,-0.04328573839615345,0.2613176861947088,-0.11108619959921506,0.43361195673681807,-0.043062462050132096,0.2632907599996913,-0.14060655584981016,0.5291172120624535
images/filigrees/Corale 1/C1-101v-AQ filigree-2-cropped.png,-0.2010910670458031,0.6074457130190657,-0.2313421415180357,0.5118502388608858,-0.2369764756316886,0.5730131595721016,-0.24656412355479343,0.5312842034075098,-0.2913541314475273,0.6341531987684895
images/filigrees/Corale 1/C1-73v-C w silver-3-cropped.png,-0.29260087539682766,0.575944649391683,-0.19701229200468176,0.5814769957070914,-0.27853712331806174,0.5689618408488858,-0.23077075405825068,0.6066053061790149,-0.3229423145336883,0.7022343797226323
images/filigrees/Corale 1/C1-173r-A-cropped.png,-0.3911718870286435,0.6876105594164063,-0.3648097567463885,0.6507586379040174,-0.36950396357218945,0.6296528810867428,-0.3568908517886326,0.6114963369049352,-0.42960000072618315,0.7184733409462124
images/filigrees/Corale 1/C1-19v-20r-Magdalene-cropped.jpg,-0.41500033405905035,0.845646184992518,-0.40418853759326856,0.8546300039473828,-0.42232469809167694,0.8644656532864843,-0.3762296128483365,0.8410425313420298,-0.6073538033160933,0.9259248386227252
images/filigrees/Corale 1/C1-22v-E w filigree 2-cropped.jpg,-0.9580279600169738,0.9685083087491253,-0.936621131270883,0.9507718467916895,-0.9544186650399101,0.9525847654829422,-0.9537364168912877,0.939005069097673,-1.1840391910589672,0.9198059583728979
images/filigrees/Corale 1/C1-31v-C-cropped.png,-0.270673863714486,0.6170578803631874,-0.1940133719269159,0.6144794402347677,-0.27353829306161137,0.5788267347489463,-0.21453161422448117,0.6154193766622097,-0.32958602372716045,0.7437467694717027
images/filigrees/Corale 1/C1-51r-M church-2-cropped.png,-0.31430273615247833,0.63215734623368,-0.2920202042505497,0.6619646588178976,-0.3178539467580787,0.6536422639698041,-0.3145957116268504,0.6601526720096622,-0.37038125078051143,0.7229353546358765
images/filigrees/Corale 1/C1-50v-P w cross-2-cropped.png,-0.3364955249725709,0.604631502697971,-0.27477904741310993,0.6512701072882823,-0.351828167903424,0.6307158161335888,-0.2706967436987798,0.6246931390624441,-0.37277193519532237,0.714109845814076
images/filigrees/Corale 1/C1-50v-P w cross-2-cropped.jpg,-1.0464002465848747,0.9760513731216148,-1.0262203277157071,0.9306867621471986,-1.0879818880223904,0.9770505227063307,-1.044570641189942,0.9498750138123089,-1.2720930276077849,0.9263669658801907
