Image,Slope Q1,R2 Q1,Slope Q2,R2 Q2,Slope Q3,R2 Q3,Slope Q4,R2 Q4,Slope Whole,R2 Whole
images/filigrees/Corale 1/C1-140v-G2-cropped.jpg,-0.8502489740705913,0.9525093975700575,-0.9711657680512183,0.8635849197247664,-0.9332960216953862,0.9076555888068051,-0.917022459059284,0.9106440236711418,-0.912640982056314,0.9186983193662174
images/filigrees/Corale 1/C1-101v-AQ filigree-2-cropped.jpg,-0.9638246696780127,0.9585238826074431,-1.0657435237053032,0.9030063253807429,-1.050293077900123,0.910750580109884,-1.0759333608031156,0.8896506330236951,-1.0336377403813188,0.9226146432616349
images/filigrees/Corale 1/C1-103v-A sapphires-cropped.jpg,-1.56912621719955,0.8453326288294418,-1.628698559996701,0.8070413040064319,-1.782692350658413,0.8067713231996846,-1.9377933406795604,0.7992123178600257,-1.6963298455342037,0.827603050438785
images/filigrees/Corale 1/C1-19v-20r-Magdalene-cropped.jpg,-1.2442473493074933,0.7124446335665416,-1.2270732021660877,0.7189965048436673,-1.3271420254777249,0.6986269557016866,-1.2546466795111264,0.695079500668779,-1.2791254328473065,0.7033900758033789
images/filigrees/Corale 1/C1-22v-E w filigree 2-cropped.jpg,-0.9917720610549976,0.975176237477844,-0.9731291725818896,0.9437201556548455,-0.9996003714012565,0.958716952465024,-0.9577969898242101,0.938772102646406,-0.9810695997976702,0.9589954263149778
images/filigrees/Corale 1/C1-50v-P w cross-2-cropped.jpg,-1.444601718491265,0.9309449170511814,-1.316393441763003,0.880612551744993,-1.538086112193466,0.9133024089864417,-1.4401546437667136,0.8699905580449405,-1.4298790802060395,0.9025932500331749
images/filigrees/Corale 1/C1-170v-G-cropped.jpg,-0.7537756878064683,0.9236081956470908,-0.7267849660799203,0.9173203589620664,-0.7901784717053144,0.9323785964440092,-0.7496845190677738,0.9255949989324775,-0.751758739719657,0.9227940473151561
"images/filigrees/Corale 1/C1-143v-144r-O, A grisaille-croppedO.jpg",-0.7996653043041394,0.9278348189581274,-0.7319002171453721,0.8984210053138588,-0.6829436285066526,0.8781796001562509,-0.7341668850699302,0.8955319848006649,-0.7282219261612631,0.9024997110387896
images/filigrees/Corale 1/C1-25v-Q-2-cropped.jpg,-1.3788140827197735,0.9129488368945404,-1.3735834366861412,0.8748687212799293,-1.3873645679090445,0.895265049532758,-1.3724368216924934,0.8760561934238689,-1.3759279327194904,0.8924746015490312
images/filigrees/Corale 1/C1-20v-21r-Magdanele hymn 2-cropped.jpg,-0.8875178840620258,0.9358726491486145,-0.7765525043312728,0.9247019943070247,-0.8349431903096554,0.9040101569369139,-0.7616835831415654,0.9280418189280256,-0.806894134836041,0.9305040048309321
images/filigrees/Corale 1/C1-47r-H-3-cropped.jpg,-1.082592094452528,0.9733393319391173,-1.0467015015278887,0.9534598472503216,-1.041917828911234,0.9721015364342923,-0.8170413026306509,0.955842043346303,-0.9901119410190589,0.9723800367368336
images/filigrees/Corale 1/C1-16r-S w mandorla-croppedS.jpg,-1.3748325406481137,0.7391668587822193,-0.994246583018424,0.8166948700034404,-1.4014129072299208,0.7288398887592407,-1.2736478537214386,0.7633391991169362,-1.211161732773702,0.7874786616714625
images/filigrees/Corale 1/C1-84v-Letter P-1-cropped.jpg,-1.0248892847826694,0.9368022044989338,-0.8118319883484284,0.9549228991180531,-1.0283325269819101,0.9537270240727723,-0.8892598168052015,0.9524068897755891,-0.9343305877380199,0.9550341117446394
images/filigrees/Corale 1/C1-24v-Letter I-1-croppedS.jpg,-0.8078408702799809,0.9464545660430244,-0.6387205196825271,0.8788383840275527,-0.7848387027586641,0.9413493387649764,-0.9133987260546181,0.9743255934510773,-0.7705920928816774,0.9354322233207192
images/filigrees/Corale 1/C1-24v-Letter I-1-croppedR.jpg,-0.8246204551839483,0.9419313057199613,-0.7350273626765487,0.9070753604752149,-0.7791396742224054,0.9280584238523569,-0.6836840809727628,0.8902365886212229,-0.7339768933624701,0.9007386873810205
images/filigrees/Corale 1/C1-31v-32r-cropped.jpg,-0.9406040774800516,0.863683110609001,-0.8820586384281195,0.7039861107259566,-0.8534384010857776,0.885992101310281,-0.8513490989601707,0.7766415561008985,-0.8777523349059989,0.8210823096021383
images/filigrees/Corale 1/C1-29v-30r-cropped.jpg,-1.2537899332697053,0.8186430326743852,-1.2601749818554406,0.7522191356528481,-1.2041405696798997,0.7745934861194317,-1.0092448542545862,0.785769662887298,-1.1587247507236216,0.802214018665685
images/filigrees/Corale 1/C1-28r-O-cropped.jpg,-1.1206881222978482,0.9201556890847677,-1.0758526445285503,0.9009225586799944,-1.1446732857466597,0.896821816066945,-1.0596833148800007,0.927864478101808,-1.09551694326837,0.9169576641021056
images/filigrees/Corale 1/C1-30v-31r-croppedO.jpg,-0.8439641477135974,0.9539555702177507,-0.8435729846442073,0.9390302010002196,-0.8649653554185147,0.9451921873413599,-0.8044354824432262,0.932437957425969,-0.8329194742570379,0.9477575905096183
images/filigrees/Corale 1/C1-23v-S-cropped.jpg,-1.5598296101483233,0.8263209925813365,-1.4306738222891608,0.8281092654133906,-1.6781222435238057,0.7573585998428409,-1.423334672062065,0.8387339404647707,-1.5018589307952395,0.8235291809100572
images/filigrees/Corale 1/C1-160v-B2-cropped.jpg,-0.8262978231739551,0.9474045159227164,-0.8383424495440791,0.944862438947357,-0.8150473982456022,0.9442793257551262,-0.8277055204666183,0.9548579793178815,-0.8229219949847599,0.9521647882392792
images/filigrees/Corale 1/C1-16r-S w mandorla-croppedA.jpg,-0.9248594948979929,0.8989492190275649,-0.781421254923932,0.9388843216109486,-0.7465079738258334,0.8894162499947732,-0.7972409151555337,0.9440671179735708,-0.8038550412629496,0.9314753521840573
images/filigrees/Corale 1/C1-21v-Mary Magdalene hymn 3-cropped.jpg,-1.1359999361553865,0.7556880137438756,-1.3980096593902003,0.6750293950039186,-1.0302732880893035,0.7367099491990382,-1.239575902420166,0.7562012517913019,-1.1720793884088774,0.7486753653969574
images/filigrees/Corale 1/C1-27v-S-2-cropped.jpg,-1.1957183378900067,0.8898342136585851,-1.1711685504869975,0.8637200703398237,-1.1702565717195776,0.821641636594742,-1.2720423726974823,0.8515552764437921,-1.199770320119279,0.8592662193168289
images/filigrees/Corale 1/C1-173-A2-cropped.jpg,-1.2046607688739848,0.9126477123814892,-1.235596294149617,0.8975744427796881,-1.2989455598250705,0.8834023822034733,-1.1667126773016718,0.9304967210446006,-1.2193928271881018,0.9119157345410519
images/filigrees/Corale 1/C1-142v-T2-cropped.jpg,-0.9887710821124331,0.9565991160630926,-0.943357352395857,0.9584651589314496,-1.043592795931369,0.9197671846909611,-1.084086712711518,0.9262445863823097,-1.0109546674587753,0.9489540348574415
images/filigrees/Corale 1/C1-20v-21r-Magdanele hymn 2-croppedE.jpg,-0.8542654900971087,0.9355481379663884,-0.732106892278929,0.9157658101759599,-0.8256466327534174,0.9227905045717151,-0.7218208569826778,0.9095842251534227,-0.7529760649721535,0.9011964624147106
images/filigrees/Corale 1/C1-46r-Q-cropped.jpg,-1.3306870966386994,0.9000476671905879,-1.2235991720099535,0.9172116139153376,-1.4681971774197997,0.8737844336720639,-1.3162146707967992,0.9097713031735194,-1.3227399922066054,0.9060262144302058
images/filigrees/Corale 1/C1-51r-M church-cropped.jpg,-1.1247810008507264,0.9269076854611544,-1.076257894061738,0.9553694240525364,-1.2018424208420262,0.9109242205918382,-1.0888361384355543,0.9573645628911269,-1.1185186843867558,0.9428491954850744
images/filigrees/Corale 1/C1-110v-N-3-cropped.jpg,-1.0039016467219763,0.9605039531619071,-1.1672792563456236,0.941037389331619,-1.0697689621221504,0.9317086015582691,-1.1469978059091581,0.9304803477242164,-1.0920737687172486,0.9465878189197473
images/filigrees/Corale 1/C1-31v-32r-croppedC.jpg,-0.8276646525110005,0.8706577814243989,-0.6546968475604765,0.7572506255209827,-0.8311241142020942,0.856575823672547,-0.6998538958709015,0.786934026830032,-0.7508558583531947,0.8370069702452112
images/filigrees/Corale 1/C1-75r-O-cropped.jpg,-1.109995320412082,0.9805838589343512,-1.1026459806165314,0.956081805973497,-1.1146721287851982,0.9604786631954613,-1.2065311276344328,0.9175253472268683,-1.130106811429356,0.959484317724447
images/filigrees/Corale 1/C1-130v-8h-cropped.jpg,-0.8702845980063258,0.949170306827989,-0.8773144811978643,0.9491018135882023,-0.8796948285254073,0.9530846910252757,-0.8302725390930221,0.9348315419524577,-0.8624810461724314,0.9456432177511527
