Image,Slope Q1,R2 Q1,Slope Q2,R2 Q2,Slope Q3,R2 Q3,Slope Q4,R2 Q4,Slope Whole,R2 Whole
images/filigrees/Corale 15/C15-122v-gothic-2-cropped.jpg,-1.3983414149758777,0.9327214704104954,-1.3528071007142872,0.9365551964064361,-1.3840172666171326,0.9287136139155372,-1.3821558756742307,0.9431063592731231,-1.6166570069485158,0.9113792431581018
images/filigrees/Corale 15/C15-34v-2-croppedA.jpg,-0.5814046172970093,0.8917068001533645,-0.5589830540543375,0.907507237315174,-0.6264286663591002,0.9124477194169547,-0.6085334332284985,0.9074474266098727,-0.7725042466718379,0.9568485706508318
images/filigrees/Corale 15/C15-26r-cropped.jpg,-0.5806968466656586,0.9085584293237505,-0.6848545704870894,0.9305748343339224,-0.5640575580632771,0.9009972303128508,-0.6404380792873527,0.9314361689271964,-0.8406984261942407,0.9526821547572512
images/filigrees/Corale 15/C15-2r-cropped.jpg,-0.5054607232745162,0.9048582492460864,-0.5062674096570329,0.9060890480775896,-0.5030937301682907,0.9053197509645274,-0.5131766218566143,0.9084806787626597,-0.7216076116462272,0.9056066843806589
images/filigrees/Corale 15/C15-26v-5-cropped.jpg,-0.9167789223222612,0.9524333289199024,-0.944794366659276,0.9503900649795136,-0.9260650571950534,0.9578457107330255,-0.9535236546446201,0.9477199940542379,-1.2001609531862676,0.9347652935957498
images/filigrees/Corale 15/C15-29r-B-3-cropped.jpg,-1.1027645232402001,0.9670057366206359,-1.1125212967692433,0.9654561982520086,-1.129603123262819,0.9628956799368461,-1.1397209971819529,0.9624604946595361,-1.3136180437431528,0.9455739831786988
images/filigrees/Corale 15/C15-50v-O-3-cropped.jpg,-1.1158696403950172,0.9680504313938151,-1.093548535909293,0.9658430837102137,-1.1342994013447394,0.9646170958573456,-1.132350018296965,0.9569229258531711,-1.3539512198020958,0.9457863444778274
images/filigrees/Corale 15/C15-27r-3-cropped.jpg,-0.8756607713243342,0.9656779504029426,-0.9368571541377917,0.9681269131060266,-0.8570844704627126,0.9645904630384491,-0.9404849303873569,0.9655718781894606,-1.1533024304548822,0.9585100701794111
images/filigrees/Corale 15/C15-31r-Prudent Virgin text-cropped.jpg,-0.47723808559644965,0.875719313725249,-0.5097832050522607,0.8998384102526912,-0.4609317437068737,0.8778664492368958,-0.47658553490523986,0.8752099911814183,-0.6686933898226114,0.9372822606195296
images/filigrees/Corale 15/C15-1v-cropped.jpg,-0.5496716807772628,0.9084803252854766,-0.5098404458664543,0.9073688393597156,-0.5403309229610298,0.9044778010371471,-0.5402952743492866,0.9159698620595965,-0.7781825957149803,0.9270488284477922
