%
% Comments go after a '%' sign.
%
%
% Relation: Filigree Images
%
%
% Attributes: 12     Instances: 49
%
%

@relation Filigree Images

@attribute 'Image' {'/users/marcobresciani/documents/pycharmprojects/fractalsfiligree/images/filigrees/corale 1/c1-2r-opening v-cropped.jpg','/users/marcobresciani/documents/pycharmprojects/fractalsfiligree/images/filigrees/corale 1/c1-2v _ 4r-cropped.jpg','/users/marcobresciani/documents/pycharmprojects/fractalsfiligree/images/filigrees/corale 1/c1-16r-s w mandorla-croppeda.jpg','/users/marcobresciani/documents/pycharmprojects/fractalsfiligree/images/filigrees/corale 1/c1-16r-s w mandorla-croppeds.jpg','/users/marcobresciani/documents/pycharmprojects/fractalsfiligree/images/filigrees/corale 1/c1-19v-20r-magdalene-cropped.jpg','/users/marcobresciani/documents/pycharmprojects/fractalsfiligree/images/filigrees/corale 1/c1-20v-21r-magdanele hymn 2-cropped.jpg','/users/marcobresciani/documents/pycharmprojects/fractalsfiligree/images/filigrees/corale 1/c1-20v-21r-magdanele hymn 2-croppede.jpg','/users/marcobresciani/documents/pycharmprojects/fractalsfiligree/images/filigrees/corale 1/c1-21v-mary magdalene hymn 3-cropped.jpg','/users/marcobresciani/documents/pycharmprojects/fractalsfiligree/images/filigrees/corale 1/c1-22v-e w filigree 2-cropped.jpg','/users/marcobresciani/documents/pycharmprojects/fractalsfiligree/images/filigrees/corale 1/c1-23v-s-cropped.jpg','/users/marcobresciani/documents/pycharmprojects/fractalsfiligree/images/filigrees/corale 1/c1-24v-letter i-1-croppedr.jpg','/users/marcobresciani/documents/pycharmprojects/fractalsfiligree/images/filigrees/corale 1/c1-24v-letter i-1-croppeds.jpg','/users/marcobresciani/documents/pycharmprojects/fractalsfiligree/images/filigrees/corale 1/c1-25v-q-2-cropped.png','/users/marcobresciani/documents/pycharmprojects/fractalsfiligree/images/filigrees/corale 1/c1-27v-s-2-cropped.png','/users/marcobresciani/documents/pycharmprojects/fractalsfiligree/images/filigrees/corale 1/c1-28r-o completion-2-cropped.png','/users/marcobresciani/documents/pycharmprojects/fractalsfiligree/images/filigrees/corale 1/c1-28v-29r-croppedh.jpg','/users/marcobresciani/documents/pycharmprojects/fractalsfiligree/images/filigrees/corale 1/c1-28v-29r-croppedm.jpg','/users/marcobresciani/documents/pycharmprojects/fractalsfiligree/images/filigrees/corale 1/c1-29v-30r-cropped.jpg','/users/marcobresciani/documents/pycharmprojects/fractalsfiligree/images/filigrees/corale 1/c1-30v-31r-croppedo.jpg','/users/marcobresciani/documents/pycharmprojects/fractalsfiligree/images/filigrees/corale 1/c1-31v-c-cropped.png','/users/marcobresciani/documents/pycharmprojects/fractalsfiligree/images/filigrees/corale 1/c1-32r-c-cropped.png','/users/marcobresciani/documents/pycharmprojects/fractalsfiligree/images/filigrees/corale 1/c1-45r-e hatching 2-cropped.jpg','/users/marcobresciani/documents/pycharmprojects/fractalsfiligree/images/filigrees/corale 1/c1-46r-q-cropped.jpg','/users/marcobresciani/documents/pycharmprojects/fractalsfiligree/images/filigrees/corale 1/c1-47r-h-3-cropped.jpg','/users/marcobresciani/documents/pycharmprojects/fractalsfiligree/images/filigrees/corale 1/c1-50v-p w cross-2-cropped.jpg','/users/marcobresciani/documents/pycharmprojects/fractalsfiligree/images/filigrees/corale 1/c1-50v-p w cross-2-cropped.png','/users/marcobresciani/documents/pycharmprojects/fractalsfiligree/images/filigrees/corale 1/c1-51r-m church-2-cropped.png','/users/marcobresciani/documents/pycharmprojects/fractalsfiligree/images/filigrees/corale 1/c1-51v-h-cropped.png','/users/marcobresciani/documents/pycharmprojects/fractalsfiligree/images/filigrees/corale 1/c1-70r-y-2-cropped.png','/users/marcobresciani/documents/pycharmprojects/fractalsfiligree/images/filigrees/corale 1/c1-73v-c w silver-3-cropped.png','/users/marcobresciani/documents/pycharmprojects/fractalsfiligree/images/filigrees/corale 1/c1-75r-o-cropped.png','/users/marcobresciani/documents/pycharmprojects/fractalsfiligree/images/filigrees/corale 1/c1-76v-e-cropped.png','/users/marcobresciani/documents/pycharmprojects/fractalsfiligree/images/filigrees/corale 1/c1-84v-letter p-2-cropped.png','/users/marcobresciani/documents/pycharmprojects/fractalsfiligree/images/filigrees/corale 1/c1-88r-o sapphires 6-cropped.png','/users/marcobresciani/documents/pycharmprojects/fractalsfiligree/images/filigrees/corale 1/c1-89r-e hatching-2-cropped.png','/users/marcobresciani/documents/pycharmprojects/fractalsfiligree/images/filigrees/corale 1/c1-99r-2-cropped.png','/users/marcobresciani/documents/pycharmprojects/fractalsfiligree/images/filigrees/corale 1/c1-101v-aq filigree-2-cropped.png','/users/marcobresciani/documents/pycharmprojects/fractalsfiligree/images/filigrees/corale 1/c1-103v-sapphires-2-cropped.png','/users/marcobresciani/documents/pycharmprojects/fractalsfiligree/images/filigrees/corale 1/c1-110v-n-3-cropped.png','/users/marcobresciani/documents/pycharmprojects/fractalsfiligree/images/filigrees/corale 1/c1-129v-a filigree-2-cropped.png','/users/marcobresciani/documents/pycharmprojects/fractalsfiligree/images/filigrees/corale 1/c1-130v-10h-cropped.png','/users/marcobresciani/documents/pycharmprojects/fractalsfiligree/images/filigrees/corale 1/c1-140v-g3-cropped.png','/users/marcobresciani/documents/pycharmprojects/fractalsfiligree/images/filigrees/corale 1/c1-142v-t2-cropped.png','/users/marcobresciani/documents/pycharmprojects/fractalsfiligree/images/filigrees/corale 1/c1-143v-144r-o, a grisaille-croppeda.jpg','/users/marcobresciani/documents/pycharmprojects/fractalsfiligree/images/filigrees/corale 1/c1-143v-144r-o, a grisaille-croppedo.jpg','/users/marcobresciani/documents/pycharmprojects/fractalsfiligree/images/filigrees/corale 1/c1-160v-b2-cropped.png','/users/marcobresciani/documents/pycharmprojects/fractalsfiligree/images/filigrees/corale 1/c1-170v-172r-g-cropped.jpg','/users/marcobresciani/documents/pycharmprojects/fractalsfiligree/images/filigrees/corale 1/c1-170v-g-cropped.png','/users/marcobresciani/documents/pycharmprojects/fractalsfiligree/images/filigrees/corale 1/c1-173r-a-cropped.png'}
@attribute 'Book Number' {1}
@attribute 'Slope Q1' numeric
@attribute 'R2 Q1' numeric
@attribute 'Slope Q2' numeric
@attribute 'R2 Q2' numeric
@attribute 'Slope Q3' numeric
@attribute 'R2 Q3' numeric
@attribute 'Slope Q4' numeric
@attribute 'R2 Q4' numeric
@attribute 'Slope Whole' numeric
@attribute 'R2 Whole' numeric

@data
'/users/marcobresciani/documents/pycharmprojects/fractalsfiligree/images/filigrees/corale 1/c1-2r-opening v-cropped.jpg',1,-0.7877659561576914,0.9426296244817498,-0.762146292048206,0.9339292341668218,-0.7462832068887751,0.9280047152601925,-0.7972161356723609,0.9440846555925516,-0.7696283756392659,0.9384365376330019
'/users/marcobresciani/documents/pycharmprojects/fractalsfiligree/images/filigrees/corale 1/c1-2v _ 4r-cropped.jpg',1,-0.9015787082554334,0.942740308544336,-0.8406972114617829,0.9507368170407117,-0.8723151096884388,0.921861998984563,-0.9098087576938163,0.9553922511801904,-0.8645970576332641,0.9534579359555367
'/users/marcobresciani/documents/pycharmprojects/fractalsfiligree/images/filigrees/corale 1/c1-16r-s w mandorla-croppeda.jpg',1,-0.9248594948979929,0.8989492190275649,-0.781421254923932,0.9388843216109486,-0.7465079738258334,0.8894162499947732,-0.7972409151555337,0.9440671179735708,-0.8038550412629496,0.9314753521840573
'/users/marcobresciani/documents/pycharmprojects/fractalsfiligree/images/filigrees/corale 1/c1-16r-s w mandorla-croppeds.jpg',1,-1.3748325406481137,0.7391668587822193,-0.994246583018424,0.8166948700034404,-1.4014129072299208,0.7288398887592407,-1.2736478537214386,0.7633391991169362,-1.211161732773702,0.7874786616714625
'/users/marcobresciani/documents/pycharmprojects/fractalsfiligree/images/filigrees/corale 1/c1-19v-20r-magdalene-cropped.jpg',1,-1.2442473493074933,0.7124446335665416,-1.2270732021660877,0.7189965048436673,-1.3271420254777249,0.6986269557016866,-1.2546466795111264,0.695079500668779,-1.2791254328473065,0.7033900758033789
'/users/marcobresciani/documents/pycharmprojects/fractalsfiligree/images/filigrees/corale 1/c1-20v-21r-magdanele hymn 2-cropped.jpg',1,-0.8875178840620258,0.9358726491486145,-0.7765525043312728,0.9247019943070247,-0.8349431903096554,0.9040101569369139,-0.7616835831415654,0.9280418189280256,-0.806894134836041,0.9305040048309321
'/users/marcobresciani/documents/pycharmprojects/fractalsfiligree/images/filigrees/corale 1/c1-20v-21r-magdanele hymn 2-croppede.jpg',1,-0.8542654900971087,0.9355481379663884,-0.732106892278929,0.9157658101759599,-0.8256466327534174,0.9227905045717151,-0.7218208569826778,0.9095842251534227,-0.7529760649721535,0.9011964624147106
'/users/marcobresciani/documents/pycharmprojects/fractalsfiligree/images/filigrees/corale 1/c1-21v-mary magdalene hymn 3-cropped.jpg',1,-1.1359999361553865,0.7556880137438756,-1.3980096593902003,0.6750293950039186,-1.0302732880893035,0.7367099491990382,-1.239575902420166,0.7562012517913019,-1.1720793884088774,0.7486753653969574
'/users/marcobresciani/documents/pycharmprojects/fractalsfiligree/images/filigrees/corale 1/c1-22v-e w filigree 2-cropped.jpg',1,-0.9917720610549976,0.975176237477844,-0.9731291725818896,0.9437201556548455,-0.9996003714012565,0.958716952465024,-0.9577969898242101,0.938772102646406,-0.9810695997976702,0.9589954263149778
'/users/marcobresciani/documents/pycharmprojects/fractalsfiligree/images/filigrees/corale 1/c1-23v-s-cropped.jpg',1,-1.5598296101483233,0.8263209925813365,-1.4306738222891608,0.8281092654133906,-1.6781222435238057,0.7573585998428409,-1.423334672062065,0.8387339404647707,-1.5018589307952395,0.8235291809100572
'/users/marcobresciani/documents/pycharmprojects/fractalsfiligree/images/filigrees/corale 1/c1-24v-letter i-1-croppedr.jpg',1,-0.8246204551839483,0.9419313057199613,-0.7350273626765487,0.9070753604752149,-0.7791396742224054,0.9280584238523569,-0.6836840809727628,0.8902365886212229,-0.7339768933624701,0.9007386873810205
'/users/marcobresciani/documents/pycharmprojects/fractalsfiligree/images/filigrees/corale 1/c1-24v-letter i-1-croppeds.jpg',1,-0.8078408702799809,0.9464545660430244,-0.6387205196825271,0.8788383840275527,-0.7848387027586641,0.9413493387649764,-0.9133987260546181,0.9743255934510773,-0.7705920928816774,0.9354322233207192
'/users/marcobresciani/documents/pycharmprojects/fractalsfiligree/images/filigrees/corale 1/c1-25v-q-2-cropped.png',1,-0.7662830172706184,0.9319433606513831,-0.7655981572596358,0.9339086266256555,-0.7507125030635321,0.9265101097479584,-0.7654166244967363,0.9331622438277994,-0.7566457392294291,0.9306142341365544
'/users/marcobresciani/documents/pycharmprojects/fractalsfiligree/images/filigrees/corale 1/c1-27v-s-2-cropped.png',1,-0.7466105133463703,0.9058834838118923,-0.695237677748069,0.8877002279719163,-0.5871560918033223,0.8220802355335876,-0.7252150188780426,0.9195577201338235,-0.6782523888437385,0.8825421885966672
'/users/marcobresciani/documents/pycharmprojects/fractalsfiligree/images/filigrees/corale 1/c1-28r-o completion-2-cropped.png',1,-0.7389106145486265,0.9233508503639224,-0.7658076539111267,0.9220319789242205,-0.7138712190485125,0.9213845452568832,-0.7504619663656864,0.9264025677759549,-0.732150227922636,0.9171785970470837
'/users/marcobresciani/documents/pycharmprojects/fractalsfiligree/images/filigrees/corale 1/c1-28v-29r-croppedh.jpg',1,-0.9159249256292729,0.9247001913986166,-1.1129285706891738,0.9233140706297469,-0.8331174393906489,0.9263529108473558,-0.8356338492706025,0.8706483805960561,-0.9115538360449251,0.9277317482573604
'/users/marcobresciani/documents/pycharmprojects/fractalsfiligree/images/filigrees/corale 1/c1-28v-29r-croppedm.jpg',1,-0.7888740367525393,0.9438207887966454,-0.7981569948551503,0.9419180719759395,-0.7988312234792886,0.9496132549281627,-0.7862839040879945,0.9401330493337786,-0.7816119355383764,0.9397414974019254
'/users/marcobresciani/documents/pycharmprojects/fractalsfiligree/images/filigrees/corale 1/c1-29v-30r-cropped.jpg',1,-1.2537899332697053,0.8186430326743852,-1.2601749818554406,0.7522191356528481,-1.2041405696798997,0.7745934861194317,-1.0092448542545862,0.785769662887298,-1.1587247507236216,0.802214018665685
'/users/marcobresciani/documents/pycharmprojects/fractalsfiligree/images/filigrees/corale 1/c1-30v-31r-croppedo.jpg',1,-0.8439641477135974,0.9539555702177507,-0.8435729846442073,0.9390302010002196,-0.8649653554185147,0.9451921873413599,-0.8044354824432262,0.932437957425969,-0.8329194742570379,0.9477575905096183
'/users/marcobresciani/documents/pycharmprojects/fractalsfiligree/images/filigrees/corale 1/c1-31v-c-cropped.png',1,-0.7398390304432069,0.9186910556798082,-0.6263161903262288,0.8412730383070196,-0.7354323373280799,0.9232439946535437,-0.6317208775421871,0.8612954511766442,-0.6786077035964325,0.9000684290048663
'/users/marcobresciani/documents/pycharmprojects/fractalsfiligree/images/filigrees/corale 1/c1-32r-c-cropped.png',1,-0.7544582656330511,0.9278807967092417,-0.5602084530816046,0.776573524968309,-0.7342752524458521,0.9166427602749073,-0.6026181626417805,0.8382194543630141,-0.6615434908710475,0.884413317721355
'/users/marcobresciani/documents/pycharmprojects/fractalsfiligree/images/filigrees/corale 1/c1-45r-e hatching 2-cropped.jpg',1,-1.66003812707288,0.8527499813734164,-1.551413392308944,0.8371022205588836,-1.63737717983017,0.8572701193591823,-1.3875621774888505,0.8419131930026632,-1.543883507765673,0.8554537219163898
'/users/marcobresciani/documents/pycharmprojects/fractalsfiligree/images/filigrees/corale 1/c1-46r-q-cropped.jpg',1,-1.3306870966386994,0.9000476671905879,-1.2235991720099535,0.9172116139153376,-1.4681971774197997,0.8737844336720639,-1.3162146707967992,0.9097713031735194,-1.3227399922066054,0.9060262144302058
'/users/marcobresciani/documents/pycharmprojects/fractalsfiligree/images/filigrees/corale 1/c1-47r-h-3-cropped.jpg',1,-1.082592094452528,0.9733393319391173,-1.0467015015278887,0.9534598472503216,-1.041917828911234,0.9721015364342923,-0.8170413026306509,0.955842043346303,-0.9901119410190589,0.9723800367368336
'/users/marcobresciani/documents/pycharmprojects/fractalsfiligree/images/filigrees/corale 1/c1-50v-p w cross-2-cropped.jpg',1,-1.444601718491265,0.9309449170511814,-1.316393441763003,0.880612551744993,-1.538086112193466,0.9133024089864417,-1.4401546437667136,0.8699905580449405,-1.4298790802060395,0.9025932500331749
'/users/marcobresciani/documents/pycharmprojects/fractalsfiligree/images/filigrees/corale 1/c1-50v-p w cross-2-cropped.png',1,-0.8628616266331317,0.947852013344501,-0.7880544525771533,0.9264120353787996,-0.8500741758579329,0.9438324963089592,-0.7723001752273725,0.9219344255758465,-0.8054117513259194,0.9279984681478627
'/users/marcobresciani/documents/pycharmprojects/fractalsfiligree/images/filigrees/corale 1/c1-51r-m church-2-cropped.png',1,-0.7918631909208574,0.9208982490991047,-0.8674260411234462,0.9359117831964548,-0.7917282166886006,0.9330916359346988,-0.8505162035745131,0.9433600570971081,-0.8075635463751429,0.9227256355906248
'/users/marcobresciani/documents/pycharmprojects/fractalsfiligree/images/filigrees/corale 1/c1-51v-h-cropped.png',1,-0.8030175637865821,0.9376429455392976,-0.6884551936970846,0.8905419682135752,-0.8143229744903389,0.9486662965682119,-0.7221632163882697,0.9186410657178349,-0.7268384631342546,0.9173182615242259
'/users/marcobresciani/documents/pycharmprojects/fractalsfiligree/images/filigrees/corale 1/c1-70r-y-2-cropped.png',1,-1.0258202400199161,0.9418021282350756,-0.7862085591797054,0.9329725680025792,-1.027626712469254,0.9019844630122745,-0.9663080435943867,0.840339766844636,-0.9337691918747725,0.9305917367762848
'/users/marcobresciani/documents/pycharmprojects/fractalsfiligree/images/filigrees/corale 1/c1-73v-c w silver-3-cropped.png',1,-0.8130661809955048,0.9493898713715445,-0.6610768628128666,0.8636193230961562,-0.7726208564212648,0.9424343888537777,-0.6735547871619085,0.8856779585916886,-0.7188048807310541,0.9262769673829193
'/users/marcobresciani/documents/pycharmprojects/fractalsfiligree/images/filigrees/corale 1/c1-75r-o-cropped.png',1,-1.0189651314791246,0.9607072162945316,-0.9002969066636046,0.9418211616950701,-0.9436283644400701,0.9560494443911897,-0.8813812901474771,0.9419494051927094,-0.9071719215471292,0.9473849326656097
'/users/marcobresciani/documents/pycharmprojects/fractalsfiligree/images/filigrees/corale 1/c1-76v-e-cropped.png',1,-0.9847729414600006,0.9555404289443029,-0.8605597332935716,0.9294866642529257,-0.9381380414988876,0.9519160656230145,-0.7758311577655674,0.9063274585343496,-0.8670540175808338,0.9259451530300128
'/users/marcobresciani/documents/pycharmprojects/fractalsfiligree/images/filigrees/corale 1/c1-84v-letter p-2-cropped.png',1,-0.8084696340246167,0.9198965935758753,-0.7900219153283021,0.9088418122624679,-0.8134362218892645,0.9108627901007302,-0.7664616186692551,0.8985807709267056,-0.7634923005267454,0.8911451492735932
'/users/marcobresciani/documents/pycharmprojects/fractalsfiligree/images/filigrees/corale 1/c1-88r-o sapphires 6-cropped.png',1,-0.7232722070155604,0.9085435332784303,-0.6751972474089447,0.8815454223134096,-0.8674208386322528,0.8530030712719081,-0.7655559541051751,0.8651857476920594,-0.7442675683314631,0.8974043315970436
'/users/marcobresciani/documents/pycharmprojects/fractalsfiligree/images/filigrees/corale 1/c1-89r-e hatching-2-cropped.png',1,-0.8294295934624233,0.8855895761046494,-0.6445997642550287,0.7584796920435736,-0.7861969412911296,0.8818823220334266,-0.6485456165090008,0.7581210658535932,-0.6475822678904971,0.8330315632909551
'/users/marcobresciani/documents/pycharmprojects/fractalsfiligree/images/filigrees/corale 1/c1-99r-2-cropped.png',1,-0.7258451618982389,0.8959007096437178,-0.765499522044093,0.9059263436934063,-0.7628061569776275,0.9089553661005646,-0.7677146729166711,0.9042827845026701,-0.7198716161811056,0.8931139517228565
'/users/marcobresciani/documents/pycharmprojects/fractalsfiligree/images/filigrees/corale 1/c1-101v-aq filigree-2-cropped.png',1,-0.7890075454389084,0.906629698303699,-0.7451193741950157,0.8936385959987134,-0.7417437186756102,0.8920142869720699,-0.7540543787722971,0.8974640535256146,-0.7296666829817253,0.8731960476176658
'/users/marcobresciani/documents/pycharmprojects/fractalsfiligree/images/filigrees/corale 1/c1-103v-sapphires-2-cropped.png',1,-0.7727898039426929,0.9268906864615497,-0.7348076591148008,0.9128001621159717,-0.7056239753368019,0.9030221442852673,-0.7809978681374479,0.920419555368087,-0.7220337228613821,0.9119369128799656
'/users/marcobresciani/documents/pycharmprojects/fractalsfiligree/images/filigrees/corale 1/c1-110v-n-3-cropped.png',1,-0.8754899122551387,0.9169849010956584,-0.8639182573006023,0.902512821890163,-0.8823546808921435,0.9069611878062737,-0.8238524991551293,0.8999065018000979,-0.8435464278640123,0.8877569209931638
'/users/marcobresciani/documents/pycharmprojects/fractalsfiligree/images/filigrees/corale 1/c1-129v-a filigree-2-cropped.png',1,-0.83635256912885,0.9134544941713442,-0.7811084374177736,0.9084858359967826,-0.7549163133780041,0.9002031059882717,-0.7710390202907493,0.9025290705455744,-0.7586287321520382,0.8836133409371066
'/users/marcobresciani/documents/pycharmprojects/fractalsfiligree/images/filigrees/corale 1/c1-130v-10h-cropped.png',1,-0.7003175920136859,0.883946098006588,-0.6994975542527629,0.8880270770133635,-0.6783584421229992,0.8603121411533147,-0.6926690028519947,0.8931146433979824,-0.6692029836895016,0.8830259292345561
'/users/marcobresciani/documents/pycharmprojects/fractalsfiligree/images/filigrees/corale 1/c1-140v-g3-cropped.png',1,-0.8263890620096128,0.9055908503120934,-0.7126130842350651,0.8604818815722863,-0.7870089508274251,0.8898464691209801,-0.7343272838019723,0.871261482524519,-0.742227728531702,0.8606977216832752
'/users/marcobresciani/documents/pycharmprojects/fractalsfiligree/images/filigrees/corale 1/c1-142v-t2-cropped.png',1,-0.9306721999920848,0.9386763562113821,-0.8102304150071084,0.9090337276391893,-0.8836185506235413,0.9257236536259569,-0.8648109167653344,0.933693274541807,-0.8549120466072804,0.914695892006657
'/users/marcobresciani/documents/pycharmprojects/fractalsfiligree/images/filigrees/corale 1/c1-143v-144r-o, a grisaille-croppeda.jpg',1,-0.9019627591497908,0.930240455091196,-0.7768088389146262,0.9335121209491777,-0.6862271326163286,0.8902163961878355,-0.7317923432163493,0.9237213815692524,-0.7661070445348063,0.9301833743904114
'/users/marcobresciani/documents/pycharmprojects/fractalsfiligree/images/filigrees/corale 1/c1-143v-144r-o, a grisaille-croppedo.jpg',1,-0.7996653043041394,0.9278348189581274,-0.7319002171453721,0.8984210053138588,-0.6829436285066526,0.8781796001562509,-0.7341668850699302,0.8955319848006649,-0.7282219261612631,0.9024997110387896
'/users/marcobresciani/documents/pycharmprojects/fractalsfiligree/images/filigrees/corale 1/c1-160v-b2-cropped.png',1,-0.8793702136174172,0.9138703554543892,-0.8493959442086837,0.9108479550927318,-0.9115142945500829,0.9160447949912034,-0.8571120301899156,0.9069297099366559,-0.7882528337386011,0.8876601461277234
