Image,Book Number,Slope Q1,R2 Q1,Slope Q2,R2 Q2,Slope Q3,R2 Q3,Slope Q4,R2 Q4,Slope Whole,R2 Whole
/Users/marcobresciani/Documents/PycharmProjects/fractalsFiligree/images/filigrees/Corale 1/C1-2r-Opening V-cropped.jpg,1,-0.7877659561576914,0.9426296244817498,-0.762146292048206,0.9339292341668218,-0.7462832068887751,0.9280047152601925,-0.7972161356723609,0.9440846555925516,-0.7696283756392659,0.9384365376330019
/Users/marcobresciani/Documents/PycharmProjects/fractalsFiligree/images/filigrees/Corale 1/C1-2v _ 4r-cropped.jpg,1,-0.9015787082554334,0.942740308544336,-0.8406972114617829,0.9507368170407117,-0.8723151096884388,0.921861998984563,-0.9098087576938163,0.9553922511801904,-0.8645970576332641,0.9534579359555367
/Users/marcobresciani/Documents/PycharmProjects/fractalsFiligree/images/filigrees/Corale 1/C1-16r-S w mandorla-croppedA.jpg,1,-0.9248594948979929,0.8989492190275649,-0.781421254923932,0.9388843216109486,-0.7465079738258334,0.8894162499947732,-0.7972409151555337,0.9440671179735708,-0.8038550412629496,0.9314753521840573
/Users/marcobresciani/Documents/PycharmProjects/fractalsFiligree/images/filigrees/Corale 1/C1-16r-S w mandorla-croppedS.jpg,1,-1.3748325406481137,0.7391668587822193,-0.994246583018424,0.8166948700034404,-1.4014129072299208,0.7288398887592407,-1.2736478537214386,0.7633391991169362,-1.211161732773702,0.7874786616714625
/Users/marcobresciani/Documents/PycharmProjects/fractalsFiligree/images/filigrees/Corale 1/C1-19v-20r-Magdalene-cropped.jpg,1,-1.2442473493074933,0.7124446335665416,-1.2270732021660877,0.7189965048436673,-1.3271420254777249,0.6986269557016866,-1.2546466795111264,0.695079500668779,-1.2791254328473065,0.7033900758033789
/Users/marcobresciani/Documents/PycharmProjects/fractalsFiligree/images/filigrees/Corale 1/C1-20v-21r-Magdanele hymn 2-cropped.jpg,1,-0.8875178840620258,0.9358726491486145,-0.7765525043312728,0.9247019943070247,-0.8349431903096554,0.9040101569369139,-0.7616835831415654,0.9280418189280256,-0.806894134836041,0.9305040048309321
/Users/marcobresciani/Documents/PycharmProjects/fractalsFiligree/images/filigrees/Corale 1/C1-20v-21r-Magdanele hymn 2-croppedE.jpg,1,-0.8542654900971087,0.9355481379663884,-0.732106892278929,0.9157658101759599,-0.8256466327534174,0.9227905045717151,-0.7218208569826778,0.9095842251534227,-0.7529760649721535,0.9011964624147106
/Users/marcobresciani/Documents/PycharmProjects/fractalsFiligree/images/filigrees/Corale 1/C1-21v-Mary Magdalene hymn 3-cropped.jpg,1,-1.1359999361553865,0.7556880137438756,-1.3980096593902003,0.6750293950039186,-1.0302732880893035,0.7367099491990382,-1.239575902420166,0.7562012517913019,-1.1720793884088774,0.7486753653969574
/Users/marcobresciani/Documents/PycharmProjects/fractalsFiligree/images/filigrees/Corale 1/C1-22v-E w filigree 2-cropped.jpg,1,-0.9917720610549976,0.975176237477844,-0.9731291725818896,0.9437201556548455,-0.9996003714012565,0.958716952465024,-0.9577969898242101,0.938772102646406,-0.9810695997976702,0.9589954263149778
/Users/marcobresciani/Documents/PycharmProjects/fractalsFiligree/images/filigrees/Corale 1/C1-23v-S-cropped.jpg,1,-1.5598296101483233,0.8263209925813365,-1.4306738222891608,0.8281092654133906,-1.6781222435238057,0.7573585998428409,-1.423334672062065,0.8387339404647707,-1.5018589307952395,0.8235291809100572
