Image,Slope Q1,R2 Q1,Slope Q2,R2 Q2,Slope Q3,R2 Q3,Slope Q4,R2 Q4,Slope Whole,R2 Whole
images/filigrees/Corale 11/C11-145r-cropped.jpg,-0.6783009370755461,0.9354043386578597,-0.6644404267703733,0.9260800328801164,-0.601842170282147,0.9210712836958925,-0.6623944896218719,0.9234455260094722,-0.8041856261532602,0.9316078715081705
images/filigrees/Corale 11/C11-109v-Heart I-3-croppedS.jpg,-0.3385337044893874,0.8164183889818897,-0.3471707093473286,0.8241777698269713,-0.37896694432706596,0.8439166878440574,-0.32613482412705164,0.7984369495510398,-0.5000116150979317,0.9012746618157434
images/filigrees/Corale 11/C11-22v-H-2-cropped.jpg,-0.6798893165279712,0.9331746876146002,-0.6935778217505978,0.9376925053530699,-0.715328419879475,0.9445430746475192,-0.670045709612104,0.9372945800483645,-0.9026410412636084,0.9620702085318517
images/filigrees/Corale 11/C11-109v-Heart I-3-croppedE.jpg,-0.4254091657535697,0.8284427820224467,-0.38487494085027113,0.8398534790373372,-0.47137687145586954,0.827414779145722,-0.4059825927427487,0.8377345980972487,-0.6056565145862077,0.9293214417211652
images/filigrees/Corale 11/C11-28v-greens-2-cropped.jpg,-1.0943704143882365,0.9626890595560937,-1.0739755935242041,0.9545776103136944,-1.0519339509816188,0.966284932181997,-1.0583340587551429,0.9556218523434927,-1.3209915824105753,0.9372153095512262
images/filigrees/Corale 11/C11-30v-31r-flowers C-cropped.jpg,-0.6617034219672215,0.9351916488185572,-0.6721579256797284,0.9289004515503468,-0.6662452886557264,0.9362503467464244,-0.677445076669042,0.9345569125654336,-0.815631722551116,0.9482502426189929
images/filigrees/Corale 11/C11-89r-croppedE.jpg,-0.5400323267734228,0.9131118480006972,-0.505765597170467,0.9028152888775063,-0.5108786838411006,0.907853346316432,-0.5569663019900318,0.9171858521378129,-0.7375624088671356,0.9203570860780043
images/filigrees/Corale 11/C11-14r-I-cropped.jpg,-0.6428211174156615,0.9351101472211582,-0.6248140448746805,0.9366377821683882,-0.7454313013242344,0.9407685386055447,-0.7046187486502177,0.936548963324654,-0.884561972690186,0.928404320991499
images/filigrees/Corale 11/C11-28v_greens-croppedC.jpg,-0.537478562342632,0.8811466065602842,-0.5302699309519271,0.8877880272711316,-0.5495428830335538,0.8871456072091054,-0.49280224312137705,0.8880370118275231,-0.7158312978273225,0.9499291244437548
images/filigrees/Corale 11/C11-109v-Heart I-3-croppedS2.jpg,-0.3930148062081064,0.8520092149285163,-0.333402628675294,0.81191064296203,-0.36664715484044696,0.8420372798373883,-0.3616005166324684,0.8330671741373404,-0.5576923607914617,0.9095163922845957
images/filigrees/Corale 11/C11-163v-O filigree-cropped.jpg,-0.8868096126843124,0.9478715006422065,-0.9082700735924121,0.9309640584738176,-0.9007170098898652,0.9413626130965602,-0.9084264647145841,0.9216127664914813,-1.111118998305122,0.8723738462540321
images/filigrees/Corale 11/C11-123v-cropped.jpg,-0.554712849971676,0.915947275651461,-0.506194019149377,0.9052746920543828,-0.5519447943874686,0.9113674779348774,-0.5158348741835765,0.9068625410094506,-0.6877436745580273,0.9348932386793773
images/filigrees/Corale 11/C11-54v-Modified O-Mod-cropped.jpg,-0.6457867594906537,0.9384734159814813,-0.6606850631430572,0.9367697515476813,-0.6415734079481906,0.936851521764005,-0.6381603411357171,0.9312938792906176,-0.8859487401280606,0.9490542510651513
images/filigrees/Corale 11/C11-150v-cropped.jpg,-0.44987136518936893,0.879928330741342,-0.4295210155662798,0.8755901969334893,-0.4429144350537889,0.8776867649923334,-0.44830552556560205,0.8811344070556847,-0.6399331887587744,0.9173640868565658
images/filigrees/Corale 11/C11-28v-4-cropped.jpg,-1.0637776075427,0.9428683218260825,-1.0317462630167389,0.9194339446962088,-1.0546080038663577,0.9373561988904225,-1.0284738709646952,0.9181851096760162,-1.3351124058028605,0.9017224197125895
images/filigrees/Corale 11/C11-29v-cropped.jpg,-0.5050005396711554,0.9051181027164227,-0.5208394640778015,0.9101213556611101,-0.48237000070845953,0.8980458144324603,-0.49029948552968755,0.9019134735210063,-0.7172455651803642,0.9141372141119662
images/filigrees/Corale 11/C11-54v-Repaired O-Mod-cropped.jpg,-0.49217205999277597,0.8901345961025102,-0.3589508777244913,0.8309582523974949,-0.4606042221576349,0.884537200730562,-0.40724471790164707,0.8647917340812923,-0.5670449545350226,0.9066024426683998
images/filigrees/Corale 11/C11-78v-O sphere-3-cropped.jpg,-0.9856628340880211,0.9646155110519298,-0.9961463058541007,0.959368674865255,-1.025469440787202,0.9602934930121142,-0.982140430335959,0.9539051536891037,-1.2369868066493444,0.9504202983904723
images/filigrees/Corale 11/C11-151v-cropped.jpg,-0.5143407477449834,0.8966236207867121,-0.4919693163646065,0.8957051611367542,-0.5864108845062327,0.9093299400058055,-0.5329495935793551,0.9115974998455293,-0.6680953309581995,0.9343454821430753
images/filigrees/Corale 11/C11-33r-E-cropped.jpg,-0.8235320773460381,0.9541379230407021,-0.8753389744360146,0.95530378977208,-0.8392904018527357,0.9552221449949045,-0.8975916963708044,0.950477078297493,-1.0766266884069247,0.9239489644885873
images/filigrees/Corale 11/C11-31v-C flowers-3-cropped.jpg,-1.3181268925506897,0.9500351738027534,-1.256068519719179,0.9232313852334555,-1.3146390902161598,0.9317035493145389,-1.2840460452254854,0.9257298336937961,-1.5298086653503062,0.917235012372874
images/filigrees/Corale 11/C11-28v_greens-croppedM.jpg,-0.6023387231771359,0.878275672050589,-0.6315076863897047,0.9152974095076244,-0.6046391279698233,0.9038704589592395,-0.5608196284088619,0.9095346786383266,-0.7897322609679401,0.9560902612623419
images/filigrees/Corale 11/C11-22v-I-2-cropped.jpg,-0.8916789019898826,0.9628256127224186,-0.8295277791743437,0.9572565284355506,-0.828705417838769,0.959830852055319,-0.8185489047233531,0.9563889927323723,-1.083947820127483,0.9523430686520519
images/filigrees/Corale 11/C11-54v-Repaired O-Mod-croppedC.jpg,-0.4822660170650516,0.8913900324967092,-0.403871928811658,0.8607897930950018,-0.48709770731058105,0.8965787303911217,-0.40078546205322896,0.8576673257568355,-0.6708576597182516,0.9188246243705714
images/filigrees/Corale 11/C11-140r-cropped.jpg,-0.958302614029589,0.930196197833388,-0.9375148586726434,0.9217547477527958,-0.9985298905811939,0.9335008535307435,-1.0824749811245582,0.9397015595537047,-1.2331753988379948,0.9104752152633411
images/filigrees/Corale 11/C11-89r-croppedO.jpg,-0.43254039650367965,0.855805335406242,-0.45919666748698335,0.876966430356793,-0.42049792825156657,0.8366404662102838,-0.5001045218892627,0.891767193352638,-0.6223643161519612,0.9320155550614483
images/filigrees/Corale 11/C11-30v-flowers C-cropped.jpg,-0.8433759990110301,0.9548493111026869,-0.8141179528262121,0.9387450335671913,-0.8244682627488753,0.9553157282991446,-0.7809532905365021,0.9484175959869291,-1.0821796505659689,0.942480998309939
images/filigrees/Corale 11/C11-152r-cropped.jpg,-0.4999271755741985,0.8895638221676996,-0.477223975751039,0.8894408296290367,-0.526484488970911,0.8743980674505875,-0.45499452184488476,0.8843205597630709,-0.6770492227883753,0.942047728081997
images/filigrees/Corale 11/C11-112r-O w flowers-cropped.jpg,-0.8478583275476083,0.9478522442209297,-0.8608416963367985,0.9463654437784175,-0.8887331548907784,0.9520841163674021,-0.8320511093801188,0.9547277928443627,-1.0521192662915773,0.9188813601390341
