Image,Slope Q1,R2 Q1,Slope Q2,R2 Q2,Slope Q3,R2 Q3,Slope Q4,R2 Q4,Slope Whole,R2 Whole
images/filigrees/Corale 19/C19-0-Grisaille-cropped.jpg,-0.5390197074252554,0.898152972678442,-0.5396671293038863,0.9059927072971317,-0.5129500390231168,0.8807022229427516,-0.5433832011609455,0.9024994193026519,-0.7251723662683559,0.9386125486964897
images/filigrees/Corale 19/c19-82v-Unfinished A-2-cropped.jpg,-0.6124457153225964,0.9249544421620952,-0.5477067366589514,0.8951517015246553,-0.612452702075752,0.9304690094672136,-0.5672392213176348,0.9160708112063012,-0.7226079036718968,0.9443312961846035
images/filigrees/Corale 19/C19-36v037r-croppedM.jpg,-0.44093331982834516,0.8075443834376036,-0.4338370619971042,0.8251578036741115,-0.39911174583553616,0.7783969291813418,-0.4290050017175391,0.808501414302107,-0.5757420590739804,0.9170429566650593
images/filigrees/Corale 19/C19-82r-cropped.jpg,-0.8895713439776063,0.9509148884969015,-0.9448975724753474,0.9156546148019514,-0.920400692138542,0.9589925250542337,-0.9396783067024722,0.9418613774527959,-1.1775478897226368,0.9148321976821865
images/filigrees/Corale 19/C19-59r-2-cropped.jpg,-0.7828825510350491,0.9288009056825435,-0.8344331047920518,0.9429165563083358,-0.8013721478930026,0.9377089945862882,-0.8367985505024419,0.9516975577405781,-1.0707691170584321,0.9039744383551699
images/filigrees/Corale 19/C19-1r-I sapphire-2-cropped.jpg,-0.8893420846163205,0.9613470168475159,-0.9558049750487309,0.9579865566755668,-0.9373503153514624,0.9682974359700293,-0.9805536820909505,0.9645713295189084,-1.133566267140784,0.945615828667126
images/filigrees/Corale 19/C19-119r-P black-2-cropped.jpg,-0.7519060814631842,0.9541113716254725,-0.7554547628226919,0.9390877733543788,-0.7376332312856485,0.9544268887297586,-0.7976476799921745,0.9463357689573421,-0.9766685810967806,0.9393660955526816
images/filigrees/Corale 19/C19-102r-O-interlicked-2-cropped.jpg,-0.954096129610046,0.9629880194505832,-0.9723810317969632,0.966741917756559,-0.9052763182450528,0.9596040108161,-0.9655984726737291,0.9622084053828199,-1.1984287637872524,0.9417794732762632
images/filigrees/Corale 19/C19-86r-croppedP.jpg,-0.4666214545567936,0.8754837833563375,-0.44186785284917207,0.8605850072162474,-0.4608414564702622,0.8714720711701164,-0.471219282652805,0.8907547700546615,-0.6490194085053123,0.9344232709025808
images/filigrees/Corale 19/C19-110v-H filigree-cropped.jpg,-0.6904861949012909,0.9391293565409083,-0.6647869190043572,0.9166892899584234,-0.6782443235865676,0.930345354504225,-0.6636032454092641,0.9117354023923804,-0.9449167296427617,0.9005476240260277
images/filigrees/Corale 19/C19-37v-38r-cropped.jpg,-0.4251183821774446,0.8270537875169744,-0.42098347405295033,0.8237721813160053,-0.3691480553365489,0.8040215653579044,-0.4215271534288897,0.8203993427124009,-0.5752085808869577,0.9223298768904051
images/filigrees/Corale 19/C19-85r-2-cropped.jpg,-0.6966561526002388,0.9482364460314592,-0.7068379869350728,0.9494254099112057,-0.7004212634261802,0.9494958381686084,-0.6972757856450192,0.9430413510690427,-0.91516389057438,0.9430405881904655
images/filigrees/Corale 19/C19-34r-cropped.jpg,-0.6347227232275917,0.9336541711394131,-0.5807823290536268,0.9234903755121601,-0.6013187809981286,0.9218561882490324,-0.6161642128295995,0.9254115909917046,-0.7746529743490337,0.9571534115046265
images/filigrees/Corale 19/C19-59r-grisaille-2-cropped.jpg,-1.2752818112454773,0.9507094547021995,-1.2653572548640653,0.9403518382150197,-1.3545111235387783,0.8917887180508952,-1.324082068799067,0.8955779956733642,-1.568862857685387,0.9228364603042648
images/filigrees/Corale 19/C19-35v-36r-cropped.jpg,-0.4329948067673524,0.8711250599363698,-0.4761507856886712,0.8823515739221385,-0.4431009875637719,0.8784990268435813,-0.43199428125222816,0.871647648555329,-0.6445220993998331,0.9352185450165339
images/filigrees/Corale 19/C19-35v-36r-croppedL.jpg,-0.40817510548865665,0.8422597288068935,-0.4211399391239601,0.8470656461357763,-0.4280483072365938,0.8532933031108996,-0.3651578788889593,0.8214463636509924,-0.5564864359256918,0.9150181041707549
images/filigrees/Corale 19/C19-36v037r-croppedS.jpg,-0.3835235717311032,0.7561460998290106,-0.32811854487664477,0.7550020913860661,-0.30620363187788613,0.7513386491018174,-0.3427400124088802,0.7310040307856756,-0.4825790717197506,0.8773922013516351
images/filigrees/Corale 19/c19-14v-p-cropped.jpg,-1.029909925287138,0.9621178914461804,-1.0490978927872128,0.9543617010439591,-1.0374497263664602,0.9670351385480188,-1.047874727098477,0.9503082456871847,-1.302091843709744,0.9433519980938341
images/filigrees/Corale 19/C19-86r-cropped.jpg,-0.5081176474922353,0.9089635578974888,-0.4553433192300276,0.8735494676046217,-0.5275180248549296,0.9144766417088477,-0.514363476596643,0.9054078051771465,-0.7026840430835749,0.8967084524249546
images/filigrees/Corale 19/C19-70v-added text-cropped.jpg,-0.46448369981242554,0.7926856306320359,-0.2460626128226468,0.7360060327182144,-0.45837637181043683,0.7897946854933968,-0.32110208959834,0.6998375677766568,-0.49525728476322334,0.8832447779659746
