Image,Slope Q1,R2 Q1,Slope Q2,R2 Q2,Slope Q3,R2 Q3,Slope Q4,R2 Q4,Slope Whole,R2 Whole
images/filigrees/Corale 19/C19-0-Grisaille-cropped.jpg,-1.3766927848541162,0.7290113165398822,-1.395945028868777,0.714985378288305,-1.390474967045029,0.7360155549483229,-1.343915867067147,0.7546721103740055,-1.3658883498994463,0.7489799314337082
images/filigrees/Corale 19/c19-82v-Unfinished A-2-cropped.jpg,-1.5405681126764097,0.7274008572671762,-1.3781484903864978,0.7430091201663825,-1.5799395318205351,0.7050804074642885,-1.4153977455143512,0.720085641990525,-1.6149822601533588,0.6972752988643048
images/filigrees/Corale 19/C19-36v037r-croppedM.jpg,-0.7719823845250187,0.8821969820794539,-0.9128691304944904,0.7899684257307555,-0.7538898337803241,0.9041578977131873,-0.9156407950949541,0.8175955347855631,-0.8021545713223944,0.8797941060513385
images/filigrees/Corale 19/C19-82r-cropped.jpg,-1.4903260345720457,0.776440925094151,-1.1483872225458789,0.7445225572909179,-1.7048338274454848,0.7257026915200151,-1.5320948765137046,0.7482351173092928,-1.4137969636054053,0.772453495943662
images/filigrees/Corale 19/C19-59r-2-cropped.jpg,-1.2856557201531646,0.8742685735759094,-1.2445107560638966,0.8960568735152606,-1.218146893542014,0.882493740286734,-1.1992710205818045,0.9172149041359977,-1.2346673380087303,0.8945184371027141
images/filigrees/Corale 19/C19-1r-I sapphire-2-cropped.jpg,-1.113040206219147,0.9725110622623634,-1.1287376538078266,0.9682768270040043,-1.1558045349235793,0.971573442071632,-1.1968738854232581,0.9629862895010525,-1.1455560037435895,0.9741457469546568
images/filigrees/Corale 19/C19-119r-P black-2-cropped.jpg,-0.9992685803129815,0.9469662123534112,-1.026497204826428,0.9209298237241172,-1.042179068709095,0.9549057255049748,-1.0528024441730404,0.9000707720163061,-1.0288385457431186,0.934268583571481
images/filigrees/Corale 19/C19-102r-O-interlicked-2-cropped.jpg,-1.16570551699801,0.9194841764998527,-1.1005832301877925,0.951683732936999,-1.2749390272679246,0.8960725189548828,-1.0605986874379751,0.9460521543061194,-1.1403813168366017,0.9335802184534552
images/filigrees/Corale 19/C19-86r-croppedP.jpg,-0.8671666847021432,0.8577514953403719,-0.9988507002895023,0.8016199488291857,-0.9360232509202192,0.8424140487857674,-1.1720039251204741,0.7644875818114019,-0.9689833567089513,0.836515312544713
images/filigrees/Corale 19/C19-110v-H filigree-cropped.jpg,-0.7694453606665265,0.9208642548899958,-0.6934608050312794,0.8823929408392462,-0.7709918425569271,0.9300668484516296,-0.7050890561516157,0.8912355682086934,-0.73463306306058,0.9094973435659123
images/filigrees/Corale 19/C19-37v-38r-cropped.jpg,-0.7155549230038928,0.9089724589784175,-0.6383038952404685,0.8536335825034393,-0.6231005762618955,0.8601737421117398,-0.7785570202167844,0.92785979480425,-0.6603834701728654,0.8647032879197027
images/filigrees/Corale 19/C19-85r-2-cropped.jpg,-0.8115175531356872,0.9588770982335213,-0.7960361211297803,0.9502382889242565,-0.7663871833763266,0.9503822406647714,-0.7741400923216691,0.9478507123044392,-0.7856945755748544,0.9542239889822571
images/filigrees/Corale 19/C19-34r-cropped.jpg,-0.8817488157453239,0.9615189204874509,-0.872384592927694,0.9572628363797396,-0.8644539702797038,0.9551948445183117,-0.8750069235510014,0.9560662939486032,-0.8585941536439545,0.9585333987802442
images/filigrees/Corale 19/C19-59r-grisaille-2-cropped.jpg,-1.6285454785858078,0.8423414704831783,-1.4607422727785622,0.8343979195046036,-1.6037344732105276,0.8348954214169886,-1.3684976320007407,0.8417295513812041,-1.5015540851859954,0.8428549956942529
images/filigrees/Corale 19/C19-35v-36r-cropped.jpg,-0.6994038311930915,0.9135735108737181,-0.7174638639641823,0.9109571220241328,-0.721277721284339,0.9040201734996258,-0.7337590334144599,0.9168738069230955,-0.7106430353659907,0.9178731532503989
images/filigrees/Corale 19/C19-35v-36r-croppedL.jpg,-0.7763525233708098,0.9302873337123515,-0.6361454255615042,0.8655382135532506,-0.7977915404114655,0.9380337354035728,-0.7688990837716452,0.924447125217732,-0.7272640836338483,0.9267668462602481
images/filigrees/Corale 19/C19-36v037r-croppedS.jpg,-0.7575045621857411,0.9286744783272124,-0.6135625229644173,0.8551291165791084,-0.6396156201527734,0.8621285436153,-0.7971445961135937,0.9354115185805251,-0.6822638643983994,0.9044971878765682
images/filigrees/Corale 19/c19-14v-p-cropped.jpg,-1.1762289995598454,0.9482682917186018,-1.2568753304500961,0.923589322765911,-1.2334944322172825,0.9436865447922983,-1.1187929591775228,0.9557155182533384,-1.1911613983550926,0.9492631423453374
images/filigrees/Corale 19/C19-86r-cropped.jpg,-0.9309284001697159,0.8398333518143415,-0.8482819850015143,0.7984560092295047,-0.7878367734897154,0.9112504648470637,-0.7989199310022433,0.869411764387154,-0.8369092621246944,0.8649593625922858
images/filigrees/Corale 19/C19-70v-added text-cropped.jpg,-0.8458625880584022,0.9493289132055494,-0.5402908904883842,0.7132059398833872,-0.8121236775385973,0.9357355527636061,-0.8466803643808822,0.8822925045557429,-0.7340992070704394,0.929583984163158
