Image,Slope Q1,R2 Q1,Slope Q2,R2 Q2,Slope Q3,R2 Q3,Slope Q4,R2 Q4,Slope Whole,R2 Whole
images/filigrees/Corale 8/Corale 8 - 0.49r.png,-0.6126337830175427,0.9311586600478865,-0.6017099804347769,0.9241989259670761,-0.5920398193392,0.926434589816299,-0.580245445663429,0.9251700165031482,-0.8147223027029482,0.9378302893274816
images/filigrees/Corale 8/Corale 8 - 0.45r.png,-0.5509337251553057,0.9155006082149747,-0.5095866894405343,0.9039358183757333,-0.5898955727249219,0.9270876659553476,-0.551231640732726,0.9140202400734484,-0.7904183485030389,0.9360898696887289
images/filigrees/Corale 8/Corale 8 - 0.52r.png,-0.5227411508517248,0.888640096284078,-0.5414253648865609,0.892115537223127,-0.5435764875001885,0.8970573717615129,-0.5066354331329777,0.8619218479895383,-0.7370074475397264,0.9455193829633588
images/filigrees/Corale 8/Corale 8 - 0.53v.png,-0.5233449354144991,0.9063879034406572,-0.5359331312517416,0.9099285115868815,-0.5418393901851394,0.9110014804481116,-0.5662353226041801,0.9177084701633381,-0.766363272980104,0.9433107917122481
images/filigrees/Corale 8/Corale 8 - 0.44r.png,-0.6073711833088546,0.9128614001432281,-0.5840587899880447,0.9203483418691021,-0.5944564130178711,0.9097021577485956,-0.5306315994555153,0.9077906218884408,-0.7844056644524372,0.9508907147741366
images/filigrees/Corale 8/Corale 8 - 46v.png,-0.5270081877792295,0.8991709266933064,-0.49532343475412544,0.8918839096330758,-0.5276596918765272,0.9053223711937497,-0.5362838883083961,0.9062646383214459,-0.7494614834382466,0.9400791657368959
images/filigrees/Corale 8/Corale 8 - 0.49v.png,-0.6800063592813578,0.9412188946087637,-0.6612949704039709,0.914834793088926,-0.6871571538924166,0.9389472373212768,-0.6288218217577075,0.9245336373324413,-0.8916534733640183,0.9475928024675628
images/filigrees/Corale 8/Corale 8 - 0.32v.png,-0.36026126145919507,0.7476792552872986,-0.2692443354396293,0.7397378110816061,-0.3523154307396736,0.7311459335788166,-0.3142961201831272,0.7492721715343519,-0.4807206732327854,0.8687845931272908
images/filigrees/Corale 8/Corale 8 - 0.58v.png,-0.4031373607623027,0.8555286863007432,-0.342504746876398,0.8204446031993115,-0.4072683516318391,0.8588856025650098,-0.3182688845304352,0.8052297205528821,-0.5659516301095948,0.9088052857340312
images/filigrees/Corale 8/Corale 8 - 0.58r.png,-0.639698985478829,0.9320376020867442,-0.6588949378151692,0.9342742966838172,-0.6384185009268187,0.9335374324690575,-0.6389918308741331,0.9335366580574064,-0.8943353644065312,0.9480949744457592
images/filigrees/Corale 8/Corale 8 - 0.35r.png,-0.6682821136803879,0.9354573042097999,-0.6725598565179921,0.9387888525310303,-0.6605582032962672,0.9385556802319629,-0.6322676405687944,0.9331902872120685,-0.8705009819567382,0.9565842060009437
images/filigrees/Corale 8/C8-158v-Completion Q-cropped.jpg,-0.8828313768530149,0.9379993204081439,-0.8789470951854856,0.9314543109137757,-0.9448194773547876,0.9280564630364175,-0.9346138786858751,0.9291337160650981,-1.141384997470664,0.8857572232842145
images/filigrees/Corale 8/C8-155v-I-2-cropped.jpg,-0.8613993159686909,0.9648352814235468,-0.8270128948224875,0.9641198410638797,-0.8439941672584872,0.9651829777624203,-0.8337755096806072,0.9634284568319141,-1.0390133700770947,0.9562848007850764
images/filigrees/Corale 8/Corale 8 - 0.36r.png,-0.5137158112140123,0.8824433878619035,-0.563394051501561,0.8970097520757511,-0.40985053923865383,0.8546908700314786,-0.4467090664561188,0.8628799672797463,-0.672852228702727,0.9367178183107877
images/filigrees/Corale 8/Corale 8 - 0.37v.png,-0.5864859259915096,0.8928888469627188,-0.6174074582979858,0.9243590376000947,-0.6160227690872401,0.9103965080351002,-0.5511142823057964,0.9078635145470875,-0.7983619271272092,0.9458784440301445
images/filigrees/Corale 8/Corale 8 - 0.37r.png,-0.5953368204947882,0.9150010357452504,-0.5970565200546806,0.9249842443446239,-0.6212233189221885,0.9224750303703739,-0.6009133059944152,0.9272595378617201,-0.8117394049953011,0.9490242250470476
images/filigrees/Corale 8/Corale 8 - 0.40r.png,-0.6335970144693704,0.9286774431988108,-0.5782926414448415,0.9197792073238378,-0.5743245851592679,0.9152177206027391,-0.5653647252308476,0.91184261654032,-0.8103194631623307,0.9513902058725958
images/filigrees/Corale 8/Corale 8 - 0.51r.png,-0.39185362781131555,0.848866566074974,-0.4088671031359037,0.8559125818634664,-0.4245388328660578,0.8602926768736437,-0.44190703714857116,0.8789680835245705,-0.627653031339405,0.9196203249695998
images/filigrees/Corale 8/Corale 8 - 0.46v.png,-0.4795873410708751,0.8827874678416389,-0.4050303389618198,0.8597205076333166,-0.3985511711900743,0.852499032919815,-0.475158683280927,0.8623745721006201,-0.6554104815135011,0.9355071136254945
images/filigrees/Corale 8/Corale 8 - 0.46r.png,-0.5667479230267898,0.9075068690362094,-0.5146602469611589,0.8989224544361386,-0.4922994407248614,0.8746308044694131,-0.4720683697501947,0.8739860542751009,-0.704858832625005,0.9427965981754577
images/filigrees/Corale 8/C8-1r-Incipit-2-cropped.jpg,-0.6871286984038081,0.9399869558757552,-0.7458289024969247,0.9267089389364402,-0.7253412971084104,0.9430900816521323,-0.7369990200188706,0.9549579366582364,-0.9492756533328736,0.8901145665650396
