Image,Slope Q1,R2 Q1,Slope Q2,R2 Q2,Slope Q3,R2 Q3,Slope Q4,R2 Q4,Slope Whole,R2 Whole
images/filigrees/Corale 8/Corale 8 - 0.49r.png,-2.346518401112576,0.9750345982146229,-2.3784426435342843,0.9712450660789181,-2.317016385445368,0.9738512432153938,-2.4809513372398713,0.9617027747692322,-2.32384783220687,0.9711095923628908
images/filigrees/Corale 8/Corale 8 - 0.45r.png,-2.383004476926433,0.9460567851872633,-2.5511418296457156,0.9093585407447957,-2.3854065334995975,0.9283871084898342,-2.518071926299842,0.9041552008495343,-2.484293980747129,0.9232603222925402
images/filigrees/Corale 8/Corale 8 - 0.52r.png,-1.9122018565674421,0.9139335728572123,-1.893620682063451,0.8846371229318638,-1.9245018958705098,0.9049643763073055,-1.8021685300696302,0.8916221151104391,-1.9198784864194411,0.8850786992689802
images/filigrees/Corale 8/Corale 8 - 0.53v.png,-2.2628648616540965,0.9233023401248384,-2.20697170605577,0.9187190767673838,-2.251689627686079,0.9164147572083432,-2.1397304291119927,0.9212763141218451,-2.310690929810805,0.899941618894452
images/filigrees/Corale 8/Corale 8 - 0.44r.png,-1.853554035847261,0.8931085241851361,-1.885742432208003,0.8778620650969473,-1.8594546741725413,0.8970902952037402,-1.8017887678796194,0.8669195698208706,-1.9048730924978463,0.8562285486724199
images/filigrees/Corale 8/Corale 8 - 46v.png,-1.6787265982657764,0.8725762203638037,-1.7031616822659355,0.8575629700009502,-1.713983588882153,0.8617244731362945,-1.61638033229536,0.8663199565776697,-1.713604837455033,0.8294673120175999
images/filigrees/Corale 8/Corale 8 - 0.49v.png,-2.2951994470171853,0.9741160392240479,-2.5089705338124224,0.9576547062612838,-2.4424334440401845,0.9739814540767049,-2.305524659447252,0.9630894857187258,-2.2317331233013236,0.9605053360271316
images/filigrees/Corale 8/Corale 8 - 0.32v.png,-0.9338701197345067,0.849344061961988,-0.8348153108497778,0.8394088681873976,-0.8782257205490165,0.8539998733087686,-0.7877454842037489,0.8352501198052955,-0.8470459717664373,0.8643833301260226
images/filigrees/Corale 8/Corale 8 - 0.58v.png,-2.1415336084863057,0.9148432569498913,-2.044822921090045,0.8922851348066168,-2.009668465287261,0.9263274944609327,-1.9717515696370682,0.8772921360900755,-2.045228944496629,0.9038919805926937
images/filigrees/Corale 8/Corale 8 - 0.58r.png,-2.0834054100233734,0.9052466234841635,-2.0097390302722067,0.9155058665214337,-1.9772824697708349,0.9207251340448942,-2.042586029785501,0.9030812688032022,-2.04285773845615,0.8882724039237304
images/filigrees/Corale 8/Corale 8 - 0.35r.png,-2.508132183114462,0.9094810299654245,-2.529564210357247,0.9091686476983043,-2.470797811036479,0.8966959803496967,-2.567280982301811,0.9081891583866316,-2.560901734400352,0.9084908308734168
images/filigrees/Corale 8/C8-158v-Completion Q-cropped.jpg,-1.2291107279607725,0.8826907396617589,-1.3025943484038707,0.8632611173953062,-1.3112066036327847,0.862997146486388,-1.327193941172309,0.8756934457376108,-1.289688202930969,0.8725713578240812
images/filigrees/Corale 8/C8-155v-I-2-cropped.jpg,-1.0076930864080602,0.9779576454816534,-1.0121184148067273,0.9675469503547269,-0.9781256106016389,0.9734140768420045,-1.035231016698963,0.9715416570480935,-1.0068226787136634,0.9744513684428493
images/filigrees/Corale 8/Corale 8 - 0.36r.png,-1.6638469575037584,0.9155343499747212,-1.7546169082605603,0.9293709238010776,-1.7316085670234638,0.9078843506113937,-1.7067021631915626,0.9110871377070606,-1.8083067891214393,0.8454379762787128
images/filigrees/Corale 8/Corale 8 - 0.37v.png,-2.156611838625012,0.9195562160405151,-2.175234036636165,0.8661229144098437,-2.338720921348884,0.8755277238948004,-2.0565833194535634,0.8678516943564837,-2.1179100039432743,0.9034802326782941
images/filigrees/Corale 8/Corale 8 - 0.37r.png,-2.1941766371974296,0.948440138362231,-2.2495769748588144,0.9169583407159332,-2.1700692722795507,0.9342242368793016,-2.258102295430094,0.9291552833324458,-2.190404365285654,0.9378855034664851
images/filigrees/Corale 8/Corale 8 - 0.40r.png,-2.073564016168262,0.851660844145388,-2.0214137340068854,0.8926861864511352,-1.9799432572625024,0.8494794417655505,-1.8961769789683545,0.8581745204349607,-1.9977809777994104,0.8650731914916466
images/filigrees/Corale 8/Corale 8 - 0.51r.png,-2.0333239779859227,0.9283340509042973,-2.0476811019741787,0.9047887833390253,-1.9582138462965353,0.9386871902069782,-1.9264332951202334,0.9489434589660984,-2.0143584144149687,0.9021223795339292
images/filigrees/Corale 8/Corale 8 - 0.46v.png,-1.651495809734176,0.8947610148564681,-1.729991431794477,0.8624309014104896,-1.6832268179778924,0.8261040234768412,-1.6702279993166746,0.8630377143577348,-1.7879725178127661,0.8123044700915869
images/filigrees/Corale 8/Corale 8 - 0.46r.png,-1.9395167842748373,0.908167049104392,-2.0341709426099057,0.8679981054822158,-1.9247090433969491,0.9139393585451752,-2.0906498948485446,0.8702291280595512,-2.0288377743459787,0.8817539532787475
images/filigrees/Corale 8/C8-1r-Incipit-2-cropped.jpg,-1.0354292907501994,0.8900515283383802,-1.0031808857385158,0.8524687913613932,-0.852079723365223,0.9155045565902379,-0.8705996654533809,0.9294263961573606,-0.9317336005176609,0.9092649099212333
