Image,Slope Q1,R2 Q1,Slope Q2,R2 Q2,Slope Q3,R2 Q3,Slope Q4,R2 Q4,Slope Whole,R2 Whole
images/filigrees/Corale 5/C5-31r-2-cropped.jpg,-0.8081504746371345,0.9455815483570674,-0.8059158125138818,0.9580209068887837,-0.7664771562912529,0.9317065495447902,-0.8079278218378447,0.9574499571058285,-1.0143823368385323,0.9690138172494813
images/filigrees/Corale 5/C5-74v-cropped.jpg,-0.68713683369812,0.9473950408410311,-0.6918621386943765,0.9461852486049712,-0.6963734765187359,0.949950834383545,-0.6484751328310312,0.9388049488508237,-0.9224772214652576,0.9292026320939981
images/filigrees/Corale 5/C5-138v-Jerome-croppedC.jpg,-0.6904342890120191,0.919796849196366,-0.6453690643337365,0.9087726598014436,-0.7266751306309946,0.9243185249674997,-0.6763814798480196,0.8940498919197207,-0.9034223268111591,0.8540938579511889
images/filigrees/Corale 5/C5-107v-Michael-cropped.jpg,-0.6023786515630278,0.9321450109013647,-0.5219427489810815,0.9043641587582878,-0.6012706769486452,0.9285909019043762,-0.6048581099484981,0.9051677065647055,-0.8004567800674035,0.9174231835332051
images/filigrees/Corale 5/C5-138v-Jerome-croppedU.jpg,-0.5137339982714105,0.8827883108361155,-0.5105356605207825,0.8925282592932086,-0.5524987426840541,0.9018340350994059,-0.5070061701136849,0.8956627934351136,-0.7056526959889486,0.9411177280067271
images/filigrees/Corale 5/C5-108r-Michael-cropped.jpg,-0.5636511401805396,0.9188530433527611,-0.5415256081128319,0.9014467799838781,-0.500158095522116,0.8875952234816551,-0.525814296892168,0.9064152421828746,-0.77069188227661,0.9206538592268789
images/filigrees/Corale 5/C5-2r-cropped.jpg,-0.5731489390156967,0.8687652058647831,-0.5478643016711634,0.8639516464762794,-0.5803495796803952,0.8430457654198257,-0.5672949459090104,0.8591289303441647,-0.727608745586536,0.9441391296686776
images/filigrees/Corale 5/C5-63r--cropped.jpg,-0.5920510790991754,0.9002581382267585,-0.5530542442329357,0.8914112125617452,-0.6135001077910727,0.8949435868640128,-0.5526012213302376,0.8896787616745006,-0.7632972612583351,0.9469388173567174
images/filigrees/Corale 5/C5-30v-2-cropped.jpg,-0.7437289046974798,0.9475512865609332,-0.7664235986168068,0.9498000772106574,-0.7358266762963227,0.9463070301781166,-0.7590731929515442,0.9548175441107916,-0.9672645496020063,0.9630869520976945
images/filigrees/Corale 5/C5-37r-star of david-cropped.jpg,-0.9083430711916302,0.9684089813643528,-0.9477262560867924,0.9673629428059646,-0.9658491851499257,0.9585932021480612,-0.9375052941518067,0.9696627553714487,-1.1870510551486027,0.9553148975743098
images/filigrees/Corale 5/C5-106v-Michael-cropped.jpg,-0.6104709392087398,0.930605367395153,-0.5903637698384605,0.9253988687984956,-0.49434836128629855,0.8964463961673202,-0.5484735462268459,0.91677705243568,-0.80392583422174,0.9233664702473902
images/filigrees/Corale 5/C5-106r-Michael-cropped.jpg,-0.4960423317622062,0.8547662955607642,-0.49368388102099237,0.8662607649530464,-0.5006988375951684,0.8467559031363425,-0.4875319247252514,0.8324100488515528,-0.6788579586740394,0.9426558342792357
images/filigrees/Corale 5/C5-12r-cropped.jpg,-0.496058759785369,0.8957823597092455,-0.6145738813621866,0.9305843102920116,-0.5137856215773334,0.9013812608891275,-0.5077959118486386,0.904914061746621,-0.7444480553588227,0.9403685355067559
images/filigrees/Corale 5/C5-0-sample I-cropped.jpg,-0.9332233750099908,0.9696085403913902,-1.0391057639778087,0.9730263424962183,-0.9443118102196918,0.9713345567984182,-1.0305905632292476,0.9759608126928168,-1.2213521625282737,0.9664001809699105
images/filigrees/Corale 5/C5-42r-cropped.jpg,-0.5281945397493475,0.9085284799636153,-0.5617921244572802,0.9189137716878767,-0.5141706712116527,0.8893501691233027,-0.5629362582673715,0.9080499208715284,-0.7705479911388672,0.9465620342649558
images/filigrees/Corale 5/C5-44v-51r_-2-cropped.jpg,-0.8585616730074472,0.9501943985996442,-0.8192966504652776,0.9235156180846584,-0.8871053077265256,0.9451850159702743,-0.808925538927294,0.9222163154019394,-1.1073128042266365,0.894706097532814
images/filigrees/Corale 5/C5-16r-detail-cropped.jpg,-0.8640930682799577,0.9558491129467044,-0.8299209883212182,0.9384799733914403,-0.8311840995740851,0.9546402744016269,-0.8454326343117544,0.9295379087081418,-1.0843731922034547,0.8940225925041206
images/filigrees/Corale 5/C5-75v-pink in g-2-cropped.jpg,-0.9044769979495856,0.9659902284901201,-0.8660815731894821,0.960484800149625,-0.8703129465778658,0.9624238811403707,-0.8345326736494636,0.9535067691664167,-1.1118673169171323,0.9422462198837053
images/filigrees/Corale 5/C5-157v-2-cropped.jpg,-0.8404600643504938,0.9440658848465311,-0.803550570909056,0.9167615468944504,-0.8292618456920852,0.9405272715743799,-0.7803742202345931,0.9111482328213122,-1.0501404129305687,0.8679934148333587
images/filigrees/Corale 5/C5-35r-D Completion-2-cropped.jpg,-0.9156061477504173,0.960000851712211,-0.9480318678710076,0.9670267104684918,-0.9182462050901423,0.96266210091997,-0.9302692790074923,0.9595977259825463,-1.1831170279881356,0.9346556177224268
images/filigrees/Corale 5/C5-31v-tiles-2-cropped.jpg,-0.9138684086750395,0.9436571298845399,-0.8973649607771974,0.9356727534563132,-0.8923126493490978,0.9245441638121139,-0.8891490310285142,0.9298236654591672,-1.161111518685472,0.8990721437194319
images/filigrees/Corale 5/C5-41v-cropped.jpg,-0.5806569432101609,0.9078252074660758,-0.5031567169803924,0.9037125972884759,-0.533288939769782,0.909808388874937,-0.5084429638281812,0.9049675338510857,-0.7547814832420676,0.9367821272478468
images/filigrees/Corale 5/C5-108v-Michale-2-cropped.jpg,-0.869781839664157,0.9606910599144156,-0.8622590343079801,0.950016309873525,-0.902803571981202,0.9601722232543989,-0.8611635533410639,0.9466730623990122,-1.1355994083228351,0.9230986684522594
