Image,Slope Q1,R2 Q1,Slope Q2,R2 Q2,Slope Q3,R2 Q3,Slope Q4,R2 Q4,Slope Whole,R2 Whole
images/filigrees/Corale 1/C1-140v-G2-cropped.jpg,-0.8670712147268158,0.9602026049883123,-0.8232011212240921,0.932291676890819,-0.8442837378423131,0.9440872418522676,-0.845735981915844,0.9550243211364113,-1.0928653153188903,0.9179671154861805
images/filigrees/Corale 1/C1-101v-AQ filigree-2-cropped.jpg,-0.7677626000765191,0.9572701165342028,-0.7160160319218051,0.9495576372684519,-0.7592971319758584,0.9581729306345186,-0.6913298752035258,0.943149856458796,-0.9428633894677683,0.9248296977035433
images/filigrees/Corale 1/C1-103v-A sapphires-cropped.jpg,-0.8651493800983595,0.9497582795807504,-0.7811367741133876,0.9313536864449361,-0.8473169971979113,0.9401901000147526,-0.881768274197721,0.9386213429961787,-1.0664720680152835,0.8998036465906968
images/filigrees/Corale 1/C1-19v-20r-Magdalene-cropped.jpg,-0.41500033405905035,0.845646184992518,-0.40418853759326856,0.8546300039473828,-0.42232469809167694,0.8644656532864843,-0.3762296128483365,0.8410425313420298,-0.6073538033160933,0.9259248386227252
images/filigrees/Corale 1/C1-22v-E w filigree 2-cropped.jpg,-0.9580279600169738,0.9685083087491253,-0.936621131270883,0.9507718467916895,-0.9544186650399101,0.9525847654829422,-0.9537364168912877,0.939005069097673,-1.1840391910589672,0.9198059583728979
images/filigrees/Corale 1/C1-50v-P w cross-2-cropped.jpg,-1.0464002465848747,0.9760513731216148,-1.0262203277157071,0.9306867621471986,-1.0879818880223904,0.9770505227063307,-1.044570641189942,0.9498750138123089,-1.2720930276077849,0.9263669658801907
images/filigrees/Corale 1/C1-170v-G-cropped.jpg,-0.5645589294804604,0.9246494429181576,-0.5772850523697454,0.926459100652521,-0.593347897109809,0.9300420783110651,-0.611035622227621,0.9339312945346465,-0.8122112729717198,0.9235539435632537
"images/filigrees/Corale 1/C1-143v-144r-O, A grisaille-croppedO.jpg",-0.3811447121304102,0.8294721044297096,-0.364022083260367,0.8144941306277673,-0.343332835125278,0.8165751631416903,-0.33918770067719356,0.804218594054546,-0.5255364965817594,0.911690656019429
images/filigrees/Corale 1/C1-25v-Q-2-cropped.jpg,-0.9611684486308443,0.9508658519400643,-0.9400085560837524,0.946778761874461,-0.9782299312363082,0.9641478976842661,-0.9491505635342081,0.9580496019544603,-1.2138785518047053,0.9136293931081598
images/filigrees/Corale 1/C1-20v-21r-Magdanele hymn 2-cropped.jpg,-0.5675880581376465,0.9187987025211096,-0.4897017953495342,0.9001258917292981,-0.5299824434743197,0.910634544884653,-0.5271384568233234,0.9109049752130052,-0.7437895675807236,0.9311055069577379
images/filigrees/Corale 1/C1-47r-H-3-cropped.jpg,-0.8242774570787946,0.9593455845768484,-0.9231420191040713,0.968101212697936,-0.7892355266124208,0.9544464902220475,-0.8348805134714601,0.9541946214448488,-1.0585923832397042,0.9605696163616227
images/filigrees/Corale 1/C1-16r-S w mandorla-croppedS.jpg,-0.5177252952765753,0.9108592875292735,-0.46618414221643323,0.8897497197043234,-0.5417818710020827,0.912138600194134,-0.527654995040623,0.9138302881323885,-0.7046640596447871,0.9196311894653895
images/filigrees/Corale 1/C1-84v-Letter P-1-cropped.jpg,-0.7502354111355203,0.9356757872781232,-0.6561746055964296,0.9440373869205652,-0.7908344969454449,0.9458116656061949,-0.7302157027394266,0.9490334590464969,-0.9222128228485161,0.96072550469987
images/filigrees/Corale 1/C1-24v-Letter I-1-croppedS.jpg,-0.5802803894680949,0.9109365113555502,-0.5210872817447407,0.9026036790325916,-0.5261845950183544,0.9067951203520608,-0.5413144667120041,0.8917897535233191,-0.7659500843791359,0.9465384401546582
images/filigrees/Corale 1/C1-24v-Letter I-1-croppedR.jpg,-0.5331339816499362,0.8925931491711615,-0.5006214148975389,0.8968718339902757,-0.4911078878662352,0.8761451704610717,-0.4659948188100631,0.8862804294020744,-0.683472827678926,0.9423541552823759
images/filigrees/Corale 1/C1-31v-32r-cropped.jpg,-0.43060734700044145,0.8708741029617366,-0.3802756574486163,0.8449287188094357,-0.40792176260975005,0.8621295353132753,-0.37293337110803476,0.8422221087021261,-0.6038357615739649,0.9022410798342333
images/filigrees/Corale 1/C1-29v-30r-cropped.jpg,-0.4367135532678324,0.8709996357666439,-0.42339508285899113,0.869862162859908,-0.38087076151637883,0.8476603232864789,-0.37136901724964966,0.8449910219971958,-0.6120425492079343,0.9204641926093721
images/filigrees/Corale 1/C1-28r-O-cropped.jpg,-0.6572565799857285,0.936107275559537,-0.6705282411540991,0.9429627569453474,-0.6443610598257219,0.9302955056440789,-0.6524090799835854,0.937270779928706,-0.8446012562328369,0.952580455370357
images/filigrees/Corale 1/C1-30v-31r-croppedO.jpg,-0.4875122001763853,0.8710351621893015,-0.46058299526282587,0.8667962192023895,-0.4839378197321204,0.8777373348690412,-0.43076680276706414,0.8622898691630202,-0.664927977427401,0.943475909031866
images/filigrees/Corale 1/C1-23v-S-cropped.jpg,-0.8551031320180206,0.9468777552606068,-0.908250796021835,0.933456652887861,-0.832300057607007,0.9384956350698631,-0.9239969098069145,0.9476207496373225,-1.0964010183178785,0.9010786297197039
images/filigrees/Corale 1/C1-160v-B2-cropped.jpg,-0.7504589928189243,0.951782654280946,-0.7937431882608634,0.9567982273637881,-0.7326751508532423,0.9502439251521779,-0.7641677961444079,0.9516336585096682,-0.9907689295612636,0.9528237272040392
images/filigrees/Corale 1/C1-16r-S w mandorla-croppedA.jpg,-0.5664743497339368,0.9224548161128994,-0.4985307281882745,0.9023120168728873,-0.49606191688609697,0.9049184276865699,-0.5695733748008549,0.9238018598759153,-0.7147651606272866,0.9284500065829905
images/filigrees/Corale 1/C1-21v-Mary Magdalene hymn 3-cropped.jpg,-0.5505209553765592,0.9173526042896436,-0.5005352273576297,0.8965894795882867,-0.5065607072821434,0.9037853223445838,-0.48139639247766897,0.8983529041776485,-0.7451833431339472,0.9179200238337833
images/filigrees/Corale 1/C1-27v-S-2-cropped.jpg,-0.882089140263075,0.9515522761527582,-0.8967456878586809,0.9389466416677595,-0.9094117172692656,0.9248568404448165,-0.8484854313221533,0.9481590346441477,-1.1476228574300305,0.9029307102479431
images/filigrees/Corale 1/C1-173-A2-cropped.jpg,-0.9240251799754701,0.9669255026840778,-0.8731573697191343,0.9632507762680819,-0.8882851801483139,0.9612089854748359,-0.8693401007581302,0.9629223028658096,-1.1356989277909464,0.9501367070348178
images/filigrees/Corale 1/C1-142v-T2-cropped.jpg,-0.9900025793399101,0.961952198825928,-1.0004449702125895,0.9523215480380774,-0.9967363170696668,0.9574946433918136,-0.9974667194400059,0.9493161144632987,-1.2426930253899604,0.9268078296489104
images/filigrees/Corale 1/C1-20v-21r-Magdanele hymn 2-croppedE.jpg,-0.5280768241366127,0.8591242256826955,-0.4766838541557269,0.876710216415101,-0.4400840815805226,0.8220139999191525,-0.3891882918574851,0.8284033534728498,-0.6442362353376401,0.9354638786847006
images/filigrees/Corale 1/C1-46r-Q-cropped.jpg,-0.9961314226608098,0.9662313198631214,-1.021977989767515,0.9628975697932665,-1.0038953772244774,0.961176086276082,-0.9623065588214159,0.9600882894698165,-1.2313820819799113,0.9434062868076005
images/filigrees/Corale 1/C1-51r-M church-cropped.jpg,-0.8990000935491965,0.9515996471111794,-0.9203910294936329,0.9524343099656776,-0.9199190237644417,0.9518142093222834,-0.9269045393083614,0.9610214868896051,-1.1130889754153368,0.9259957354649095
images/filigrees/Corale 1/C1-110v-N-3-cropped.jpg,-1.0001639758255165,0.9625843168790682,-1.0025318176286213,0.9604770202443118,-1.0068624331914497,0.9622670859546218,-1.070922394525042,0.9458324105404361,-1.2454625417971983,0.9199524004124252
images/filigrees/Corale 1/C1-31v-32r-croppedC.jpg,-0.3986020953072899,0.8562460980011016,-0.3628522231833408,0.8331957353637831,-0.4029146818927767,0.8555099153779334,-0.35217621545060696,0.8254904831393685,-0.5633407114137178,0.9060116861357445
images/filigrees/Corale 1/C1-75r-O-cropped.jpg,-0.9359378691342208,0.9680093634289945,-0.9275990783188872,0.9649896059015011,-0.9092120315308528,0.9650597404371785,-0.8704886245496718,0.9587105073392137,-1.1339866965570229,0.9559484856450948
images/filigrees/Corale 1/C1-130v-8h-cropped.jpg,-0.9777844664426524,0.9611388960632219,-0.9485699246510702,0.9620466177342035,-0.992911604176842,0.9626054334253423,-0.9606756314311138,0.9601551548646085,-1.2044550075306386,0.952146853051617
images/filigrees/Corale 1/C1-28r-O completion-cropped.jpg,-1.0100248755250327,0.9349170063681408,-1.038972234497372,0.9376464157926176,-0.9929230307376313,0.9392899078941928,-1.0591173018183109,0.9303323962141365,-1.2621240396797677,0.8833158732361767
images/filigrees/Corale 1/C1-28v-29r-croppedh.jpg,-0.4734790857521739,0.8878743833321612,-0.5472836430822914,0.8809766577149478,-0.42127265498517824,0.8649068465938361,-0.42130856540864176,0.8722243647478828,-0.6840780935448268,0.9387267412497181
images/filigrees/Corale 1/C1-88r-O Sapphires 6-cropped.jpg,-1.0314045504855687,0.9361811023617185,-0.9406154029016164,0.9292172492166408,-1.0340679662472156,0.9312523473984442,-0.9557945688759055,0.901310669653036,-1.1680719511842523,0.8887830347687984
images/filigrees/Corale 1/C1-99r-2-cropped.jpg,-0.758090904257927,0.9512679461001278,-0.7531567102887494,0.9506069888711934,-0.773125237630348,0.9585768467948365,-0.8044687953032378,0.9460131367309874,-0.9156830954117084,0.9303046928382217
"images/filigrees/Corale 1/C1-143v-144r-O, A grisaille-croppedA.jpg",-0.5046819135974261,0.8918145793661206,-0.43899104699410807,0.8680854245500409,-0.444976385310056,0.8818142594385668,-0.4437422443150143,0.8660754695484261,-0.5998845999141182,0.92715958373075
images/filigrees/Corale 1/C1-2r-Opening V-cropped.jpg,-0.5344499229586734,0.9137426958762848,-0.4812652736002988,0.892617117392554,-0.4915278398589101,0.8999211171464404,-0.4781174231461748,0.8925701783697084,-0.7044215444071498,0.9269163055659851
