Image,Slope Q1,R2 Q1,Slope Q2,R2 Q2,Slope Q3,R2 Q3,Slope Q4,R2 Q4,Slope Whole,R2 Whole
images/filigrees/Corale 15/C15-122v-gothic-2-cropped.jpg,-1.6803925923878424,0.8743809761588439,-1.5418155305411907,0.8760270276576755,-1.6689906276475812,0.8384967088342757,-1.6214657919165623,0.8156099777624859,-1.6210424019564635,0.8543151722111774
images/filigrees/Corale 15/C15-34v-2-croppedA.jpg,-1.0950589980751575,0.7967015538629667,-0.98758842816023,0.7757647234434285,-0.9320207346044678,0.8046219072803906,-0.9392873015137595,0.8409526969749953,-0.9728451724309153,0.815850800957557
images/filigrees/Corale 15/C15-26r-cropped.jpg,-0.8539857069990725,0.9452219145924218,-0.884889302352074,0.9451069647758747,-0.907533258579993,0.9564370948800424,-0.8936781704943805,0.9504341058501792,-0.8701320264920246,0.9431352540352319
images/filigrees/Corale 15/C15-2r-cropped.jpg,-0.7481321733025187,0.8841003068621065,-0.8894481520865538,0.8677862699289597,-0.8380350851313859,0.8939034491461674,-0.9291159814528999,0.8835318000614131,-0.8457861808221518,0.8905032355755167
images/filigrees/Corale 15/C15-26v-5-cropped.jpg,-1.5054834672724218,0.8640073776589619,-1.6933813544004586,0.8634473763862215,-1.6083784938661245,0.8748691575848208,-1.720905959681837,0.843979000180235,-1.6126353029452363,0.8736414247503811
images/filigrees/Corale 15/C15-29r-B-3-cropped.jpg,-1.6553577296064357,0.8739406900097308,-1.5911361597757094,0.8590459173284526,-1.7508371955260316,0.8686579709957643,-1.6428904490661793,0.8589280289463893,-1.6536104621945535,0.8685574624963371
images/filigrees/Corale 15/C15-50v-O-3-cropped.jpg,-1.3330184141552337,0.9108208485753004,-1.2991248597857559,0.9087482043806483,-1.324009933302021,0.8657056196535526,-1.2794939097813622,0.8601085740765879,-1.3077935840221575,0.8886766957976497
images/filigrees/Corale 15/C15-27r-3-cropped.jpg,-1.4456263107843783,0.876492524632272,-1.4641076101207737,0.8748600815878214,-1.4245769268222985,0.8749204837251301,-1.4078700865809792,0.8769925166763198,-1.4264585556104388,0.881544880988976
images/filigrees/Corale 15/C15-31r-Prudent Virgin text-cropped.jpg,-0.7429810175434814,0.849008685944458,-0.6413148527650376,0.8661465974453468,-0.7302000688838635,0.8775066309645212,-0.6840741226780459,0.8528688062274965,-0.6890843804641588,0.8726393822898245
images/filigrees/Corale 15/C15-1v-cropped.jpg,-0.9331956653491869,0.9228696773916484,-0.8141307571569376,0.8887527108805644,-0.791356970398743,0.848446047234094,-0.9595679919949729,0.8659122316493091,-0.8689544189377906,0.8955523205460926
images/filigrees/Corale 15/C15-24v-35r-cropped.jpg,-0.7706656551532038,0.9135317159922253,-0.6846553250822324,0.8973004111066604,-0.7123027534834151,0.9024735603370255,-0.6754099912500651,0.8972715325554297,-0.6976299005380625,0.9080766076125218
images/filigrees/Corale 15/C15-49v-croppedi.jpg,-0.949930504863245,0.8430676174279849,-1.071333438186954,0.813747215470309,-0.9510020304339976,0.8162214554501221,-1.0987040879308783,0.7932625439925906,-0.9961599874686199,0.8290294488043233
images/filigrees/Corale 15/C15-121v-Old flowers-2-cropped.jpg,-0.9729516726221783,0.831394463803038,-1.0456230570388865,0.8017266260637012,-0.9659139455381371,0.8357869094751438,-0.924554700041688,0.8405587703251007,-0.9740044731953826,0.8302807466301924
images/filigrees/Corale 15/C15-24v-cropped.jpg,-0.7422156054660481,0.9317342197959653,-0.6730707417001518,0.9014168937088831,-0.7039598273942731,0.9089925886902716,-0.6782687411968116,0.9095504449635571,-0.6939086756933314,0.9146448545718302
images/filigrees/Corale 15/C15-23v-cropped.jpg,-0.8367053774285719,0.9231449556211229,-0.8145661843816782,0.8711658997261551,-0.8483022913754253,0.9456010620812557,-0.8270574317800632,0.9223182451677425,-0.8282761733476396,0.9226959465481868
images/filigrees/Corale 15/C15-52v-53r-croppedi.jpg,-0.7552274828870524,0.9306119222940631,-0.8207355302007688,0.9501464365939284,-0.7573458788408428,0.9199010756814288,-0.7587093512388331,0.9227602634917761,-0.7498976082740781,0.93383211793502
images/filigrees/Corale 15/C15-24v-35r-croppedi.jpg,-0.777088900909354,0.9191764043213516,-0.8453933650431952,0.9137341704777515,-0.6874620859091164,0.8810575837916406,-0.7470692552786132,0.8950081792000564,-0.7310717471314733,0.9099093813264377
